pmid,type,source,full_text_path,in_included_set
17488204,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17488204.html,True
20041475,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Human psychopharmacology/20041475.html,True
27177109,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/27177109.html,True
30699438,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30699438.html,True
31234864,incomplete,pubget,experiments/er_clinical/v2/retrieval/pubget_data/text.csv [pmcid=6591903],True
42620300,incomplete,pubget,experiments/er_clinical/v2/retrieval/pubget_data/text.csv [pmcid=13484717],True
10395332,unavailable,pubget,,False
10569543,unavailable,pubget,,False
10717898,unavailable,pubget,,False
11013373,unavailable,pubget,,False
11280935,unavailable,pubget,,False
11511909,unavailable,pubget,,False
11972095,unavailable,pubget,,False
12191458,unavailable,pubget,,True
12495527,unavailable,pubget,,True
12634489,unavailable,pubget,,False
14595651,unavailable,pubget,,False
14766646,unavailable,pubget,,False
15459077,unavailable,pubget,,False
15570506,unavailable,pubget,,True
1561334,unavailable,pubget,,False
15863793,unavailable,pubget,,False
15997014,unavailable,pubget,,False
16180622,unavailable,pubget,,True
16201122,unavailable,pubget,,False
16245070,unavailable,pubget,,False
16585452,unavailable,pubget,,True
16938092,unavailable,pubget,,False
17062771,unavailable,pubget,,False
17069484,unavailable,pubget,,True
17151993,unavailable,pubget,,False
17459179,unavailable,pubget,,False
17471288,unavailable,pubget,,False
17536969,unavailable,pubget,,False
17566201,unavailable,pubget,,False
17580660,unavailable,pubget,,False
1763684,unavailable,pubget,,False
17690869,unavailable,pubget,,False
18076530,unavailable,pubget,,False
18085868,unavailable,pubget,,False
18281886,unavailable,pubget,,False
18323752,unavailable,pubget,,False
18345992,unavailable,pubget,,False
18388734,unavailable,pubget,,False
18580874,unavailable,pubget,,False
18589506,unavailable,pubget,,False
18606038,unavailable,pubget,,False
18726967,unavailable,pubget,,False
18925717,unavailable,pubget,,True
19218873,unavailable,pubget,,False
19246323,unavailable,pubget,,True
19564769,unavailable,pubget,,False
19624389,unavailable,pubget,,False
19735480,unavailable,pubget,,False
19739909,unavailable,pubget,,True
19899828,unavailable,pubget,,False
19995843,unavailable,pubget,,False
20112261,unavailable,pubget,,False
20141309,unavailable,pubget,,False
20652311,unavailable,pubget,,False
20726753,unavailable,pubget,,False
20819990,unavailable,pubget,,False
20820793,unavailable,pubget,,False
20950283,unavailable,pubget,,False
21196949,unavailable,pubget,,True
21315749,unavailable,pubget,,False
21373973,unavailable,pubget,,True
21464361,unavailable,pubget,,False
21516545,unavailable,pubget,,False
21577214,unavailable,pubget,,False
21666130,unavailable,pubget,,False
21939610,unavailable,pubget,,True
22250442,unavailable,pubget,,False
22262538,unavailable,pubget,,False
22369232,unavailable,pubget,,False
22396079,unavailable,pubget,,False
22500698,unavailable,pubget,,False
22617632,unavailable,pubget,,False
22880630,unavailable,pubget,,False
23074972,unavailable,pubget,,False
23118193,unavailable,pubget,,False
23317795,unavailable,pubget,,True
23318128,unavailable,pubget,,False
23364872,unavailable,pubget,,False
23381548,unavailable,pubget,,False
23385487,unavailable,pubget,,False
23473554,unavailable,pubget,,False
23553468,unavailable,pubget,,False
23777332,unavailable,pubget,,True
23880959,unavailable,pubget,,False
23943190,unavailable,pubget,,False
23960247,unavailable,pubget,,False
23981357,unavailable,pubget,,False
24229474,unavailable,pubget,,True
24234836,unavailable,pubget,,False
24275797,unavailable,pubget,,False
24589068,unavailable,pubget,,False
24615897,unavailable,pubget,,False
24661162,unavailable,pubget,,False
25046244,unavailable,pubget,,False
25204866,unavailable,pubget,,True
25223844,unavailable,pubget,,False
25352166,unavailable,pubget,,False
25357006,unavailable,pubget,,True
25486718,unavailable,pubget,,False
25571419,unavailable,pubget,,False
25855888,unavailable,pubget,,True
25856740,unavailable,pubget,,False
25860658,unavailable,pubget,,False
25903500,unavailable,pubget,,False
25945779,unavailable,pubget,,True
25959039,unavailable,pubget,,False
26168376,unavailable,pubget,,False
26679192,unavailable,pubget,,True
26886102,unavailable,pubget,,False
26889898,unavailable,pubget,,False
26936075,unavailable,pubget,,True
26989966,unavailable,pubget,,False
27200505,unavailable,pubget,,False
27362389,unavailable,pubget,,True
27447790,unavailable,pubget,,False
27570951,unavailable,pubget,,False
27611586,unavailable,pubget,,False
27715496,unavailable,pubget,,True
27819447,unavailable,pubget,,True
27893013,unavailable,pubget,,False
27991185,unavailable,pubget,,False
27997290,unavailable,pubget,,True
28045309,unavailable,pubget,,True
28130745,unavailable,pubget,,False
28177183,unavailable,pubget,,False
28238701,unavailable,pubget,,False
28347360,unavailable,pubget,,False
28401835,unavailable,pubget,,False
28478685,unavailable,pubget,,False
28644924,unavailable,pubget,,False
28701109,unavailable,pubget,,False
28825953,unavailable,pubget,,False
28866781,unavailable,pubget,,False
28901577,unavailable,pubget,,False
28905640,unavailable,pubget,,False
28925716,unavailable,pubget,,True
28975416,unavailable,pubget,,False
28981646,unavailable,pubget,,True
28992395,unavailable,pubget,,False
29019036,unavailable,pubget,,False
29154589,unavailable,pubget,,True
29166323,unavailable,pubget,,False
29214483,unavailable,pubget,,False
29294627,unavailable,pubget,,True
29397562,unavailable,pubget,,True
29882728,unavailable,pubget,,True
29934780,unavailable,pubget,,False
30058519,unavailable,pubget,,False
30058761,unavailable,pubget,,False
30073554,unavailable,pubget,,False
30095582,unavailable,pubget,,False
30111185,unavailable,pubget,,False
30167865,unavailable,pubget,,False
30169711,unavailable,pubget,,False
30570314,unavailable,pubget,,True
30739618,unavailable,pubget,,False
30744720,unavailable,pubget,,False
30813750,unavailable,pubget,,False
30877468,unavailable,pubget,,False
30877469,unavailable,pubget,,False
30880661,unavailable,pubget,,False
30897955,unavailable,pubget,,False
31073964,unavailable,pubget,,False
31115861,unavailable,pubget,,False
31123971,unavailable,pubget,,False
31250445,unavailable,pubget,,False
31328716,unavailable,pubget,,False
31397551,unavailable,pubget,,True
31441517,unavailable,pubget,,False
31591898,unavailable,pubget,,False
31673773,unavailable,pubget,,False
31728624,unavailable,pubget,,False
31858436,unavailable,pubget,,False
31888419,unavailable,pubget,,False
31910918,unavailable,pubget,,True
31926178,unavailable,pubget,,True
31951909,unavailable,pubget,,True
32007831,unavailable,pubget,,False
32034069,unavailable,pubget,,True
32056768,unavailable,pubget,,True
32058243,unavailable,pubget,,True
32065988,unavailable,pubget,,True
32106690,unavailable,pubget,,False
32119912,unavailable,pubget,,True
32163323,unavailable,pubget,,True
32223765,unavailable,pubget,,True
32253102,unavailable,pubget,,True
32276238,unavailable,pubget,,True
32278278,unavailable,pubget,,True
32331823,unavailable,pubget,,True
32335266,unavailable,pubget,,True
32354687,unavailable,pubget,,True
32361944,unavailable,pubget,,False
32365424,unavailable,pubget,,False
32366351,unavailable,pubget,,True
32380512,unavailable,pubget,,False
32446706,unavailable,pubget,,False
32456730,unavailable,pubget,,False
32470339,unavailable,pubget,,False
32513391,unavailable,pubget,,True
32521570,unavailable,pubget,,True
32585578,unavailable,pubget,,False
32662417,unavailable,pubget,,False
32697703,unavailable,pubget,,False
32698931,unavailable,pubget,,True
32710334,unavailable,pubget,,True
32739707,unavailable,pubget,,True
32745598,unavailable,pubget,,False
32748315,unavailable,pubget,,False
32791350,unavailable,pubget,,True
32799058,unavailable,pubget,,True
32833477,unavailable,pubget,,False
32889511,unavailable,pubget,,False
32961541,unavailable,pubget,,False
32976888,unavailable,pubget,,False
33000367,unavailable,pubget,,False
33001526,unavailable,pubget,,False
33002730,unavailable,pubget,,False
33053385,unavailable,pubget,,False
33069319,unavailable,pubget,,True
33105441,unavailable,pubget,,False
33120205,unavailable,pubget,,True
33137406,unavailable,pubget,,False
33137695,unavailable,pubget,,True
33161905,unavailable,pubget,,False
33187688,unavailable,pubget,,True
33202338,unavailable,pubget,,True
33229248,unavailable,pubget,,True
33357631,unavailable,pubget,,False
33369067,unavailable,pubget,,True
33403669,unavailable,pubget,,True
33403701,unavailable,pubget,,False
33432545,unavailable,pubget,,True
33432670,unavailable,pubget,,True
33440326,unavailable,pubget,,False
33452675,unavailable,pubget,,False
33485961,unavailable,pubget,,True
33495547,unavailable,pubget,,False
33541848,unavailable,pubget,,True
33545616,unavailable,pubget,,False
33601737,unavailable,pubget,,False
33610811,unavailable,pubget,,False
33621914,unavailable,pubget,,False
33634921,unavailable,pubget,,True
33652143,unavailable,pubget,,True
33675742,unavailable,pubget,,False
33684426,unavailable,pubget,,False
33706021,unavailable,pubget,,False
33744320,unavailable,pubget,,True
33782511,unavailable,pubget,,True
33793010,unavailable,pubget,,True
33834396,unavailable,pubget,,False
33834405,unavailable,pubget,,False
33838093,unavailable,pubget,,True
33894554,unavailable,pubget,,False
33896694,unavailable,pubget,,False
33973138,unavailable,pubget,,False
33983665,unavailable,pubget,,False
34058174,unavailable,pubget,,True
34128217,unavailable,pubget,,True
34140047,unavailable,pubget,,False
34147709,unavailable,pubget,,True
34147934,unavailable,pubget,,False
34166951,unavailable,pubget,,False
34213860,unavailable,pubget,,True
34254391,unavailable,pubget,,False
34254527,unavailable,pubget,,True
34273656,unavailable,pubget,,False
34287622,unavailable,pubget,,True
34291820,unavailable,pubget,,True
34319369,unavailable,pubget,,True
34341966,unavailable,pubget,,False
34365995,unavailable,pubget,,False
34369703,unavailable,pubget,,False
34375724,unavailable,pubget,,False
34383330,unavailable,pubget,,False
34537601,unavailable,pubget,,True
34547400,unavailable,pubget,,False
34591511,unavailable,pubget,,False
34600250,unavailable,pubget,,False
34600288,unavailable,pubget,,False
34637954,unavailable,pubget,,True
34642754,unavailable,pubget,,False
34657474,unavailable,pubget,,False
34673383,unavailable,pubget,,True
34718807,unavailable,pubget,,True
34774878,unavailable,pubget,,False
34808702,unavailable,pubget,,False
34813971,unavailable,pubget,,False
