project,manual_analysis,dice,pearson_r,r2,r_allfinite,r2_allfinite
vbm_of_ptsd,nonptsdgtptsd_merged,0.404,0.5712,0.3262,0.6103,0.3724
cue_reactivity,1_reward_neutral_2020_wbonly,0.5442,0.6609,0.4368,0.7142,0.5101
cue_reactivity,2_drug_neutral_2020_wbonly,0.4757,0.7034,0.4948,0.7505,0.5633
cue_reactivity,3_natural_neutral_2020_wbonly,0.4504,0.5125,0.2627,0.58,0.3364
dementia,all,0.4129,0.5559,0.3091,0.6197,0.384
dementia,decrease,0.2861,0.5113,0.2615,0.5802,0.3367
dementia,functional,0.1345,0.3926,0.1541,0.4729,0.2236
dementia,structural,0.3006,0.511,0.2611,0.5834,0.3403
vbm_of_substance_use,alcohol,0.3087,0.579,0.3352,0.6339,0.4018
vbm_of_substance_use,all_drug_classes,0.3352,0.5874,0.345,0.6463,0.4177
vbm_of_substance_use,cannabis,0.0054,0.2488,0.0619,0.2936,0.0862
vbm_of_substance_use,nicotine,0.2131,0.3687,0.136,0.4426,0.1959
vbm_of_substance_use,opioids,0.1234,0.4103,0.1683,0.4523,0.2046
vbm_of_substance_use,stimulants,0.2493,0.3888,0.1512,0.465,0.2163
