project,arm,run,manual_analysis,auto_analysis,dice,pearson_r,r2,r_allfinite,r2_allfinite,r2_nonzero,n_brain
cue_reactivity,full text,v5-gpt-A1-mini,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6119,0.7281,0.5301,0.7686,0.5907,0.3719,235375
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6116,0.7275,0.5292,0.7677,0.5893,0.3773,235375
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6146,0.7385,0.5454,0.7777,0.6048,0.3893,235375
cue_reactivity,baseline,baselines/1_reward_neutral_2020_wbonly,1_reward_neutral_2020_wbonly,all_analyses,0.5442,0.6609,0.4368,0.7142,0.5101,0.2716,235375
cue_reactivity,full text,v5-gpt-A1-mini,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5967,0.7917,0.6268,0.8238,0.6786,0.4842,235375
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5742,0.7788,0.6066,0.8124,0.66,0.4731,235375
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5855,0.7879,0.6207,0.82,0.6724,0.4895,235375
cue_reactivity,baseline,baselines/2_drug_neutral_2020_wbonly,2_drug_neutral_2020_wbonly,all_analyses,0.4757,0.7034,0.4948,0.7505,0.5633,0.3519,235375
cue_reactivity,full text,v5-gpt-A1-mini,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4752,0.5341,0.2852,0.5921,0.3505,0.139,235375
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4825,0.5468,0.299,0.6038,0.3646,0.1441,235375
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4817,0.5508,0.3034,0.6089,0.3708,0.1391,235375
cue_reactivity,baseline,baselines/3_natural_neutral_2020_wbonly,3_natural_neutral_2020_wbonly,all_analyses,0.4504,0.5125,0.2627,0.58,0.3364,0.104,235375
