project,arm,run,manual_analysis,auto_analysis,dice,pearson_r,r2,r_allfinite,r2_allfinite,r2_nonzero,n_brain
emotion_regulation_2022,full text,v4,decrease,decrease,0.6044,0.829,0.6872,0.8465,0.7165,0.5737,235375
emotion_regulation_2022,record + evidence,v4-record-with-evidence,decrease,decrease,0.6026,0.8236,0.6783,0.8416,0.7084,0.5608,235375
emotion_regulation_2022,"record, no evidence",v4-record-no-evidence,decrease,decrease,0.5966,0.8365,0.6997,0.8531,0.7278,0.6045,235375
emotion_regulation_2022,baseline,baselines/decrease,decrease,all_analyses,0.374,0.4935,0.2436,0.5558,0.309,0.1186,235375
emotion_regulation_2022,full text,v4,increase,increase,0.4037,0.6327,0.4003,0.6646,0.4416,0.1775,235375
emotion_regulation_2022,record + evidence,v4-record-with-evidence,increase,increase,0.425,0.6595,0.435,0.6895,0.4754,0.2364,235375
emotion_regulation_2022,"record, no evidence",v4-record-no-evidence,increase,increase,0.4345,0.6315,0.3988,0.6626,0.439,0.1905,235375
emotion_regulation_2022,baseline,baselines/increase,increase,all_analyses,0.1126,0.2878,0.0829,0.3714,0.1379,0.015,235375
emotion_regulation_2022,full text,v4,maintain,maintain,0.4762,0.7124,0.5075,0.7475,0.5588,0.3905,235375
emotion_regulation_2022,record + evidence,v4-record-with-evidence,maintain,maintain,0.4911,0.7207,0.5195,0.7543,0.5689,0.3982,235375
emotion_regulation_2022,"record, no evidence",v4-record-no-evidence,maintain,maintain,0.5137,0.7391,0.5463,0.77,0.593,0.4045,235375
emotion_regulation_2022,full text,v4,reappraisal,reappraisal,0.667,0.8612,0.7416,0.8752,0.766,0.6694,235375
emotion_regulation_2022,record + evidence,v4-record-with-evidence,reappraisal,reappraisal,0.6841,0.8602,0.74,0.8742,0.7643,0.6605,235375
emotion_regulation_2022,"record, no evidence",v4-record-no-evidence,reappraisal,reappraisal,0.6694,0.8496,0.7218,0.8648,0.7479,0.6378,235375
emotion_regulation_2022,baseline,baselines/reappraisal,reappraisal,all_analyses,0.4897,0.669,0.4476,0.7068,0.4995,0.3487,235375
