project,arm,run,manual_analysis,auto_analysis,dice,n_brain,n_nonzero,n_sig,pearson_r,r2,r_allfinite,r2_allfinite,r_nonzero,r2_nonzero,r_sig,r2_sig
vbm_of_ptsd,full text,v1-A1-mini,nonptsdgtptsd_merged,decreased_gm,0.8008,235375,37743,8249,0.6726,0.4524,0.6904,0.4767,0.4296,0.1846,-0.1973,0.0389
vbm_of_ptsd,record + evidence,v1-record-with-evidence,nonptsdgtptsd_merged,decreased_gm,0.7829,235375,37945,8567,0.6782,0.46,0.6965,0.4852,0.423,0.179,-0.1715,0.0294
vbm_of_ptsd,"record, no evidence",v1-record-no-evidence,nonptsdgtptsd_merged,decreased_gm,0.2987,235375,37945,7987,0.6352,0.4034,0.6541,0.4278,0.3852,0.1484,-0.3163,0.1001
cue_reactivity,full text,v5-gpt-A1-mini,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6119,235375,103377,47633,0.7281,0.5301,0.7686,0.5907,0.6099,0.3719,0.3333,0.1111
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6116,235375,104567,44980,0.7275,0.5292,0.7677,0.5893,0.6143,0.3773,0.3087,0.0953
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,0.6146,235375,103508,47384,0.7385,0.5454,0.7777,0.6048,0.6239,0.3893,0.3475,0.1207
cue_reactivity,full text,v5-gpt-A1-mini,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5967,235375,103441,34086,0.7917,0.6268,0.8238,0.6786,0.6958,0.4842,0.444,0.1972
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5742,235375,107061,36568,0.7788,0.6066,0.8124,0.66,0.6879,0.4731,0.4393,0.193
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,2_drug_neutral_2020_wbonly,drug_cue_reactivity,0.5855,235375,106518,35749,0.7879,0.6207,0.82,0.6724,0.6997,0.4895,0.4551,0.2071
cue_reactivity,full text,v5-gpt-A1-mini,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4752,235375,100976,37304,0.5341,0.2852,0.5921,0.3505,0.3728,0.139,-0.0751,0.0056
cue_reactivity,record + evidence,v5-gpt-record-with-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4825,235375,98931,40115,0.5468,0.299,0.6038,0.3646,0.3796,0.1441,-0.013,0.0002
cue_reactivity,"record, no evidence",v5-gpt-record-no-evidence,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,0.4817,235375,97961,39057,0.5508,0.3034,0.6089,0.3708,0.3729,0.1391,-0.0481,0.0023
dementia,full text,v3,all,dementia_all,0.3919,235375,100417,19687,0.5351,0.2863,0.5959,0.3551,0.3564,0.127,-0.2383,0.0568
dementia,record + evidence,v3-record-with-evidence,all,dementia_all,0.4715,235375,92150,19386,0.6439,0.4146,0.6889,0.4746,0.4843,0.2346,-0.041,0.0017
dementia,"record, no evidence",v3-record-no-evidence,all,dementia_all,0.4778,235375,86064,20972,0.6431,0.4136,0.6865,0.4712,0.4688,0.2198,-0.0075,0.0001
