pmid,file,bytes,sha256,rendered_by_the_arms
10103096,10103096.extraction.json,85598,f8f5a95fddd7a4dffda26c8b21f58f5e409ef10ea648a35a658d8539da158b02,True
11058476,11058476.extraction.json,82947,7ebedf4b0365dc0e1da1f02acda1e3ff8d0f6bb461b6e84b48fd18467fe72533,True
11136638,11136638.extraction.json,73187,d21501a520266455084f13a97d6873a8df81e4770f1317daf1e572ff118fdaa7,True
11296095,11296095.extraction.json,109777,05864a431f4d8acc9f9379521e620d82178c278facc2ee4d2310fa84d073eb65,True
11431229,11431229.extraction.json,78296,a0eb83e306e286957042ca1e0ec29bc5ceba28506fe7f54c53fc439a386ba350,True
11515754,11515754.extraction.json,28814,8e7b82a9358ca55425985c93aff08386b664af97f3fe1d5e1f479c51bba03dad,True
12042183,12042183.extraction.json,92878,acfd6d7c087364f984618cf51aa5d3a8e273c82dae860c2b058df69d6cceaed4,True
12381499,12381499.extraction.json,58504,6f08f1b274c4a4a2f48cedae233b623033fb0b11215e0dfcdede4fd4976adb18,True
12860777,12860777.extraction.json,89151,bfbbb1513095dd13805e0051ee27f37977c2509c496b4024bc1acbedc5d6c654,True
14667419,14667419.extraction.json,101888,86a845900704550b9c78e328af440c9808ebaa803563de49184ecc54b5abcf17,True
14679386,14679386.extraction.json,103931,f8d59e2e717fb24b8ea004549527f9c11862fa3c0797ed8330be5669c50b0cd1,True
14754771,14754771.extraction.json,75929,c483e4d279f382344a438b3f74518c4a89199e5c55b86c46d5c7b631699aa9c9,True
15127179,15127179.extraction.json,94317,4ea1ba8332287c77309319f5a4ad63207d9fa98d2519754fef1a1cbfe7d9be86,True
15465974,15465974.extraction.json,6601,409f1dd32786d6b0063cad5bd620e4ff9bd3c1bee9ff7ef695f84872cdec7419,True
15920499,15920499.extraction.json,87570,380cd15312687bf436c628e9e1ff2dcd2114e8d3ef7ee53d3c913ac89233ca11,True
16023086,16023086.extraction.json,87709,5b9c1b515d2dc8b07e28d8f5650a840a5e53c279939080c113a7e820ebeff573,True
16085533,16085533.extraction.json,59949,c31fd16fc6b8f25bf1a590240c829be48efe651f09c408aa29b6b61a31783a74,True
16123763,16123763.extraction.json,102151,d77d40d605f0f2f82b91c2bca57cea139c3efda6d5c81896afa37d27cb671527,True
16133128,16133128.extraction.json,77726,063f58bbcf0ea2085cc45098ecf4aa41d8c6b49a1d8c0283b02e6d1d45c7b5af,True
16163517,16163517.extraction.json,102180,14ef11b4550e528302a8e75988c5d967f0edb9a5f193c878666b46774489c633,True
16167185,16167185.extraction.json,5547,99856f3cf59e27ac522d10e0027aee2a735cd6fafbfe116617e211f05e81def2,True
16237382,16237382.extraction.json,60293,e2ae63b5e985b8318de84d42c32b4ae6a53ab65e21e24eccf18d58b9afdab856,True
16340649,16340649.extraction.json,78584,864e399a2c1692781f0adc869ee2cb39fde1d2d7ada04f79924837bd47542e74,True
16406379,16406379.extraction.json,67653,d6eefb7e9bd62c61afb7a22d76882851184563ada29da1728804014a53e46048,True
16565998,16565998.extraction.json,34480,7e48066a55ab68abfe244bcefea14b44c950c6f4ad644aada0749d542b5a9e60,True
16598192,16598192.extraction.json,127103,5f8857202f7b6df8c7b705eccf4600615243caff68177d9dd3f5fffae105f0c0,True
16687507,16687507.extraction.json,57144,d151b2b7e03f06c768106b75feeea64991455e76d4d287734670a6bb1e982efa,True
16759342,16759342.extraction.json,145210,3108ae8a22fa5b419c5cc220468d1aee5b79a4c252d7288aa49f33566422599a,True
16899037,16899037.extraction.json,98287,79ffb624b0c3f34e9d6eb537507df1899c49f2497d186ab537094657ede91059,True
17197102,17197102.extraction.json,58668,52148206e3814d3734d80ece884c322224df0bd82c8cb5790b8922ff58b59ca5,True
17217932,17217932.extraction.json,77601,ee6a3ff90ba16ca7f867b03d9d781eafc7fa78bf92b1e2b799aab095588bb81c,True
17291784,17291784.extraction.json,85938,1e9ab533623af0392f3e0e91a61bad70d455ce370fce0d0605298f6593fef379,True
