pmid,file,bytes,sha256,rendered_by_the_arms
10526199,10526199.extraction.json,95730,b46a6b2cacb608d500024d65ec725ec6246648d98f28277172f4b1d0b0b67aa5,True
11552010,11552010.extraction.json,33986,fd8e25fdfb80bb5fb290015e1fb43674ca81857be09153008a1afda8a5afc69e,True
11805245,11805245.extraction.json,98992,b06f2472af57f0d0f13f1bb6f2a16409d4f09f7b8bd253e82a0d8387d39e7dd4,True
12493555,12493555.extraction.json,71751,8176f7333d0838c09b207049a34413e1c02e3eb105479fe07a035ce9377a7b36,True
12821731,12821731.extraction.json,79075,7879ce3cab98db5381f0c380ac9a387d05dd2e746055b1ee80bdb8960445efc7,True
14527604,14527604.extraction.json,131070,7ef86d46812166e7315ae31337725cd7549839535e80e80d2144cbdd3c4da97f,True
14697007,14697007.extraction.json,96657,22cc69c4b9399ffb0a7b3d0ce2119e263030f2885b05043f809cc245306327f0,True
15007124,15007124.extraction.json,57017,798ac97d26d1dc78d1ef8009ae01b44cae34a911f6c401323cbbb77651fba0f2,True
15036621,15036621.extraction.json,80190,9fd7761efdd56734f3dc0d20a40f1b0c190914cae2f2d60040668b3885597b4b,True
15212830,15212830.extraction.json,73982,a812f05de43a30a1288df3eb6d9930f9aa05cfbbba71cb2cf6acd0b953475158,True
15488423,15488423.extraction.json,52256,965102f4356c2a30741dde9b66554f9733c394537a167088918f80549ffa2964,True
15585344,15585344.extraction.json,78327,657b674220447f81d85a72631b73cd95cb23abc183f52f0c9c75865bf5b1ec92,True
15668960,15668960.extraction.json,130260,96da2516d7c9d8f6caf837b1cae3f3014f1003e8ffd7dad344daa8e38a0a76be,True
15670681,15670681.extraction.json,75400,3cfc1379461f30a5b8ae466db438fe1ed42167d21848179de6f588b20d78df59,True
15695781,15695781.extraction.json,55264,c36a1faef51abedd7ab1c0544bcb42611e84ded2acdd0958e296c9978c027817,True
15728305,15728305.extraction.json,109397,ba3f127b5c7b4cb6b1f0ea7cafc9b0a0b09997b05c8b862934df0e198ce51061,True
15851728,15851728.extraction.json,68119,5b9f6b0819a7d130aff025821fd18e9a20439770026cbb6b2d0189efaab1fdab,True
15852395,15852395.extraction.json,36188,83020186fc332d090d568b0cb3f121bdcc80b27fb127eabbad308d3fb7773df6,True
16009767,16009767.extraction.json,95163,76c3f546fd2fef76624b747deb863b0ca78d9f00b6eda4254708185e379577b0,True
16009889,16009889.extraction.json,67928,8d95d450e884424046f5562c69782a7b8c979f0f9cf4e74725f6a9d9540af9fc,True
16043457,16043457.extraction.json,33194,733eacc9135c74e503aea13d3d204f5f62eb744cb5bf1cc365b8271532fb81cf,True
16157747,16157747.extraction.json,76005,32d90abfb3dfb56764f436eb07fa42fb5049165f1e1944f2ccb3f20564309c60,True
16179666,16179666.extraction.json,45496,8c7948bea2ae16fc773c92cf1289046af530079abe51f1dfaa6844285d82a782,True
16306153,16306153.extraction.json,56619,9fd0ba06c48282b411bc8a5d7bc0c0d27c84a30e982a7dc792b165cef77537f9,True
16359874,16359874.extraction.json,55895,49dba49928c300ee43b4a59f1ad1b34daf760687c16ba86edecad097c0ffbaff,True
16448722,16448722.extraction.json,62431,c7ea4893e77f4262b699bc781a142f0f919b30b9d9ebe278fb5d62bf28e18304,True
16763044,16763044.extraction.json,83529,134dcfe1275cedc50ee35c83613ceb8edc0a936f1f2566a3a8a2464676f42174,True
16914245,16914245.extraction.json,35106,631a734d97b001b4db4b4f992d0b809e83f8b1a09b07a79cd8a954e6710a217b,True
17008334,17008334.extraction.json,113325,f62b71db3e6bf6c436318cb7648f2f79dd62f0fc51a5be5efca786f0b30b863f,True
17012339,17012339.extraction.json,55672,2d4daf3fdea540c1b4098c10cc77324787ca8ce6bb2c5f27fd778c6129e036fe,True
17101833,17101833.extraction.json,67257,0678730a84600a52e4f43741931466baf474123ec3abb67d97a901152d34570c,True
17219132,17219132.extraction.json,68898,f7e40c77aa3249bc0342c764501102c27a55e2804684fb8bebf76f30bd469e59,True
17240166,17240166.extraction.json,82171,1cbef2d9a2f253b54b6068d0bfcd1ffa6e9c9c141e3904af0018a07809fcb3be,True
17353379,17353379.extraction.json,55566,150881f558b3297ea340b817463d12b330c1a53713573ca82440196f8a6f2d58,True
17532012,17532012.extraction.json,94668,0d8c4e27ee7fac371522e098044c43817e89d8332c1f625bbdaad9f6b3992347,True
17562930,17562930.extraction.json,49673,96cda647f3453d17a8cf1a12fe4d6a730cbcb367bdf32789c92d3df7214e8701,True
17574708,17574708.extraction.json,81256,c25786f6851b0be72503d97a51490a66ae55b5fa600460c82db67dd028b8fa24,True
17615169,17615169.extraction.json,60054,7ecf7915b956449b9e07f7231bcf7ac8e09e653c66926ca981f93fa7fdcfca5a,True
17898350,17898350.extraction.json,104784,f417becbdf9c54133c5b2030cdfcccd0cdeb8acdaeaa433e19611b71b592d358,True
17909155,17909155.extraction.json,81501,3b1025363390d1201f3f56d3cf2e27e89d85ffbe4e94a936275498376b1542fe,True
17968544,17968544.extraction.json,45749,cab9914308e25ca9febe81e5d813b003f48e63d3130ec75448c0ecaf3f32f905,True
17998442,17998442.extraction.json,61414,0b4c860f22cd02a50907f8946b21e49c39bc04d897ae66bb26354ed3ddace28a,True
17998444,17998444.extraction.json,60817,1cba1c274876db4dfbb5a3b959d348707b21cbc1e75ac9b9abc18d640402da1f,True
18065436,18065436.extraction.json,43634,7315815964ac5794e00fd06f9b13f1c41dcc3868122c3e6254c4373bdeabea46,True
