stage,metric,value,ci_lower,ci_upper
search,true_positives,18,,
search,false_negatives,4,,
search,false_positives,55,,
search,recall,0.8181818181818182,0.6148297802336213,0.9269323397589488
search,precision,0.2465753424657534,0.16204336317654705,0.35644662141513245
abstract,true_positives,18,,
abstract,false_negatives,0,,
abstract,false_positives,33,,
abstract,recall_in_search,1.0,0.8241154494176252,1
abstract,recall_all_meta,0.8181818181818182,0.6148297802336213,0.9269323397589488
abstract,precision,0.35294117647058826,0.2363430538125979,0.49014195027189267
fulltext,true_positives,14,,
fulltext,false_negatives,2,,
fulltext,false_positives,9,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,1,,
fulltext,false_negatives_all_texts,4,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,1,,
fulltext,recall_in_search,0.875,0.6397666856325173,0.9650232506629428
fulltext,recall_fulltext_only,0.875,0.6397666856325173,0.9650232506629428
fulltext,absolute_recall_all_texts,0.7777777777777778,0.547849735476945,0.9099921808661801
fulltext,recall_all_meta,0.6363636363636364,0.4295134934371804,0.802670272273921
fulltext,precision,0.6086956521739131,0.4078517960374599,0.7784262201761787
fulltext,precision_fulltext_only,0.6086956521739131,0.4078517960374599,0.7784262201761787
fulltext_with_coords,true_positives,7,,
fulltext_with_coords,false_negatives,9,,
fulltext_with_coords,false_positives,3,,
fulltext_with_coords,omitted_incomplete_fulltext,1,,
fulltext_with_coords,recall_in_search,0.4375,0.2309836333518552,0.6682180439322347
fulltext_with_coords,recall_all_meta,0.3181818181818182,0.1636038735469248,0.5268177721716065
fulltext_with_coords,precision,0.7,0.39677321997956516,0.892210712513788
