stage,metric,value,ci_lower,ci_upper
search,true_positives,18,,
search,false_negatives,4,,
search,false_positives,55,,
search,recall,0.8181818181818182,0.6148297802336213,0.9269323397589488
search,precision,0.2465753424657534,0.16204336317654705,0.35644662141513245
abstract,true_positives,18,,
abstract,false_negatives,0,,
abstract,false_positives,33,,
abstract,recall_in_search,1.0,0.8241154494176252,1
abstract,recall_all_meta,0.8181818181818182,0.6148297802336213,0.9269323397589488
abstract,precision,0.35294117647058826,0.2363430538125979,0.49014195027189267
fulltext,true_positives,13,,
fulltext,false_negatives,4,,
fulltext,false_positives,9,,
fulltext,additional_false_negatives,4,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,5,,
fulltext,false_negatives_fulltext_only,4,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.7647058823529411,0.5273775411082839,0.9044511092832406
fulltext,recall_fulltext_only,0.7647058823529411,0.5273775411082839,0.9044511092832406
fulltext,absolute_recall_all_texts,0.7222222222222222,0.49126922453805477,0.8750043085364452
fulltext,recall_all_meta,0.5909090909090909,0.38734477382893806,0.7674444033117963
fulltext,precision,0.5909090909090909,0.38734477382893806,0.7674444033117963
fulltext,precision_fulltext_only,0.5909090909090909,0.38734477382893806,0.7674444033117963
fulltext_with_coords,true_positives,7,,
fulltext_with_coords,false_negatives,10,,
fulltext_with_coords,false_positives,3,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.4117647058823529,0.21610786039131386,0.6399492561448445
fulltext_with_coords,recall_all_meta,0.3181818181818182,0.1636038735469248,0.5268177721716065
fulltext_with_coords,precision,0.7,0.39677321997956516,0.892210712513788
