pmid,publisher,journal,year,doi,doi_url,pubmed_url,title,is_oa,oa_pdf,oa_landing
10417245,10.1006,NeuroImage,1999,10.1006/nimg.1999.0458,https://doi.org/10.1006/nimg.1999.0458,https://pubmed.ncbi.nlm.nih.gov/10417245/,Detecting structural changes in whole brain based on nonlinear deformations-application to schizophrenia resea,no,,
11304078,10.1006,NeuroImage,2001,10.1006/nimg.2001.0751,https://doi.org/10.1006/nimg.2001.0751,https://pubmed.ncbi.nlm.nih.gov/11304078/,Gray matter-changes and correlates of disease severity in schizophrenia: a statistical parametric mapping stud,no,,
33018334,10.1109,Annual International Conference of the IEEE En,2020,10.1109/EMBC44109.2020.9176610,https://doi.org/10.1109/EMBC44109.2020.9176610,https://pubmed.ncbi.nlm.nih.gov/33018334/,Brain MRI-based 3D Convolutional Neural Networks for Classification of Schizophrenia and Controls.,no,,
30149746,10.1142,International journal of neural systems,2019,10.1142/S0129065718500326,https://doi.org/10.1142/S0129065718500326,https://pubmed.ncbi.nlm.nih.gov/30149746/,Aberrant Prefrontal-Thalamic-Cerebellar Circuit in Schizophrenia and Depression: Evidence From a Possible Caus,no,,
17641373,10.1148,Radiology,2007,10.1148/radiol.2442060727,https://doi.org/10.1148/radiol.2442060727,https://pubmed.ncbi.nlm.nih.gov/17641373/,Chronic auditory hallucinations in schizophrenic patients: MR analysis of the coincidence between functional a,no,,
30883275,10.1162,Neural computation,2019,10.1162/neco_a_01180,https://doi.org/10.1162/neco_a_01180,https://pubmed.ncbi.nlm.nih.gov/30883275/,Brain Morphometry Methods for Feature Extraction in Random Subspace Ensemble Neural Network Classification of ,yes,https://www.mitpressjournals.org/doi/pdf/10.1162/neco_a_01180,https://www.mitpressjournals.org/doi/pdf/10.1162/neco_a_01180
28410561,10.1177,The Australian and New Zealand journal of psyc,2017,10.1177/0004867417702748,https://doi.org/10.1177/0004867417702748,https://pubmed.ncbi.nlm.nih.gov/28410561/,Sexual dimorphism of the planum temporale in schizophrenia: A MRI study.,no,,
25338016,10.1503,Journal of psychiatry & neuroscience : JPN,2015,10.1503/jpn.140082,https://doi.org/10.1503/jpn.140082,https://pubmed.ncbi.nlm.nih.gov/25338016/,Does neuroanatomy account for superior temporal dysfunction in early psychosis? A multimodal MRI investigation,yes,http://jpn.ca/wp-content/uploads/2015/02/40-2-100.pdf,http://jpn.ca/wp-content/uploads/2015/02/40-2-100.pdf
36715578,10.1708,Rivista di psichiatria,2023,10.1708/3964.39426,https://doi.org/10.1708/3964.39426,https://pubmed.ncbi.nlm.nih.gov/36715578/,Similar grey matter abnormalities in 22q11.2DS and chronic schizophrenia: a voxel-based morphometry study.,yes,https://www.rivistadipsichiatria.it/r.php?&v=3964&a=39426&l=350616&f=allegati/03964_2023_01/fulltext/02-Frascarelli (10-20).pdf,https://www.rivistadipsichiatria.it/r.php?&v=3964&a=39426&l=350616&f=allegati/03964_2023_01/fulltext/02-Frascarelli (10-20).pdf
32008554,10.2174,Current medical imaging reviews,2019,10.2174/1573405613666171122163759,https://doi.org/10.2174/1573405613666171122163759,https://pubmed.ncbi.nlm.nih.gov/32008554/,Brain Structural Magnetic Resonance Imaging for Joint Independent Component Analysis in Schizophrenic Patients,no,,
14608858,10.2298,Srpski arhiv za celokupno lekarstvo,2003,10.2298/sarh0302026m,https://doi.org/10.2298/sarh0302026m,https://pubmed.ncbi.nlm.nih.gov/14608858/,"[Volumetric analysis of gray matter, white matter and cerebrospinal fluid space in schizophrenia].",yes,http://www.doiserbia.nb.rs/ft.aspx?id=0370-81790302026M,http://www.doiserbia.nb.rs/ft.aspx?id=0370-81790302026M
19806565,10.3760,Zhonghua yi xue yi chuan xue za zhi = Zhonghua,2009,10.3760/cma.j.issn.1003-9406.2009.05.002,https://doi.org/10.3760/cma.j.issn.1003-9406.2009.05.002,https://pubmed.ncbi.nlm.nih.gov/19806565/,[Brain structure abnormality as genetic endophenotype of schizophrenia].,no,,
10964865,APA,The American journal of psychiatry,2000,10.1176/appi.ajp.157.9.1475,https://doi.org/10.1176/appi.ajp.157.9.1475,https://pubmed.ncbi.nlm.nih.gov/10964865/,Brain abnormalities in early-onset schizophrenia spectrum disorder observed with statistical parametric mappin,no,,
12202269,APA,The American journal of psychiatry,2002,10.1176/appi.ajp.159.9.1497,https://doi.org/10.1176/appi.ajp.159.9.1497,https://pubmed.ncbi.nlm.nih.gov/12202269/,Cortical and subcortical gray matter abnormalities in schizophrenia determined through structural magnetic res,yes,,http://hdl.handle.net/21.11116/0000-0001-A3CB-2
14702264,APA,The American journal of psychiatry,2004,10.1176/appi.ajp.161.1.154,https://doi.org/10.1176/appi.ajp.161.1.154,https://pubmed.ncbi.nlm.nih.gov/14702264/,"Ventricular enlargement in schizophrenia related to volume reduction of the thalamus, striatum, and superior t",no,,
18981063,APA,The American journal of psychiatry,2009,10.1176/appi.ajp.2008.08020183,https://doi.org/10.1176/appi.ajp.2008.08020183,https://pubmed.ncbi.nlm.nih.gov/18981063/,Association of cerebral deficits with clinical symptoms in antipsychotic-naive first-episode schizophrenia: an,no,,
32911995,APA,The American journal of psychiatry,2020,10.1176/appi.ajp.2020.19101099,https://doi.org/10.1176/appi.ajp.2020.19101099,https://pubmed.ncbi.nlm.nih.gov/32911995/,Thalamic Nuclei Volumes in Psychotic Disorders and in Youths With Psychosis Spectrum Symptoms.,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/7708443
25923856,APA,The Journal of neuropsychiatry and clinical ne,2015,10.1176/appi.neuropsych.14030049,https://doi.org/10.1176/appi.neuropsych.14030049,https://pubmed.ncbi.nlm.nih.gov/25923856/,Clinical correlates of superior temporal gyrus volume abnormalities in antipsychotic-naïve schizophrenia.,no,,
20701823,Cambridge,The international journal of neuropsychopharma,2011,10.1017/S1461145710000817,https://doi.org/10.1017/S1461145710000817,https://pubmed.ncbi.nlm.nih.gov/20701823/,"Progressive striatal and hippocampal volume loss in initially antipsychotic-naive, first-episode schizophrenia",no,,
24423214,Cambridge,The international journal of neuropsychopharma,2014,10.1017/S1461145713001739,https://doi.org/10.1017/S1461145713001739,https://pubmed.ncbi.nlm.nih.gov/24423214/,Amygdalohippocampal neuroplastic changes following neuroleptic treatment with quetiapine in first-episode schi,yes,https://academic.oup.com/ijnp/article-pdf/17/6/833/2031649/17-6-833.pdf,https://academic.oup.com/ijnp/article-pdf/17/6/833/2031649/17-6-833.pdf
22036008,Elsevier,Comprehensive psychiatry,2011,10.1016/j.comppsych.2011.09.004,https://doi.org/10.1016/j.comppsych.2011.09.004,https://pubmed.ncbi.nlm.nih.gov/22036008/,WITHDRAWN: Anatomic differences in first episode schizophrenia: a deformation-based morphometry MRI Study.,no,,
11735840,JAMA,Archives of general psychiatry,2001,10.1001/archpsyc.58.12.1118,https://doi.org/10.1001/archpsyc.58.12.1118,https://pubmed.ncbi.nlm.nih.gov/11735840/,Focal gray matter density changes in schizophrenia.,no,,
12912761,JAMA,Archives of general psychiatry,2003,10.1001/archpsyc.60.8.779,https://doi.org/10.1001/archpsyc.60.8.779,https://pubmed.ncbi.nlm.nih.gov/12912761/,Gray and white matter brain abnormalities in first-episode schizophrenia inferred from magnetization transfer ,no,,
16275809,JAMA,Archives of general psychiatry,2005,10.1001/archpsyc.62.11.1218,https://doi.org/10.1001/archpsyc.62.11.1218,https://pubmed.ncbi.nlm.nih.gov/16275809/,Whole-brain morphometric study of schizophrenia revealing a spatially complex set of focal abnormalities.,no,,
25651064,JAMA,JAMA psychiatry,2015,10.1001/jamapsychiatry.2014.2206,https://doi.org/10.1001/jamapsychiatry.2014.2206,https://pubmed.ncbi.nlm.nih.gov/25651064/,Identification of a common neurobiological substrate for mental illness.,yes,,https://www.ncbi.nlm.nih.gov/pmc/articles/4791058
24192500,Karger,Neuropsychobiology,2013,10.1159/000355296,https://doi.org/10.1159/000355296,https://pubmed.ncbi.nlm.nih.gov/24192500/,Anterior cingulate abnormality as a neural correlate of mismatch negativity in schizophrenia.,no,,
24457222,Karger,Neuropsychobiology,2014,10.1159/000356972,https://doi.org/10.1159/000356972,https://pubmed.ncbi.nlm.nih.gov/24457222/,Structural abnormalities in schizophrenia: further evidence on the key role of the anterior cingulate cortex.,no,,
24993979,Karger,Neuropsychobiology,2014,10.1159/000358837,https://doi.org/10.1159/000358837,https://pubmed.ncbi.nlm.nih.gov/24993979/,MRI predicts remission at 1 year in first-episode schizophrenia in females with larger striato-thalamic volume,no,,
25358262,Karger,Neuropsychobiology,2014,10.1159/000364827,https://doi.org/10.1159/000364827,https://pubmed.ncbi.nlm.nih.gov/25358262/,Different and shared brain volume abnormalities in late- and early-onset schizophrenia.,no,,
28441663,Karger,Neuropsychobiology,2016,10.1159/000458528,https://doi.org/10.1159/000458528,https://pubmed.ncbi.nlm.nih.gov/28441663/,Amygdalar Gray Matter Volume and Social Relating in Schizophrenia.,no,,
31794972,Karger,Neuropsychobiology,2020,10.1159/000504576,https://doi.org/10.1159/000504576,https://pubmed.ncbi.nlm.nih.gov/31794972/,Comparisons of Voxel-Based Morphometric Brain Volumes of Individuals with Methamphetamine-Induced Psychotic Di,no,,
32160619,Karger,Neuropsychobiology,2020,10.1159/000505601,https://doi.org/10.1159/000505601,https://pubmed.ncbi.nlm.nih.gov/32160619/,Aberrant Gray Matter Volume and Cortical Surface in Paranoid-Type Delusional Disorder.,no,,
18827723,LWW,Journal of the American Academy of Child and A,2008,10.1097/CHI.0b013e318184ff48,https://doi.org/10.1097/CHI.0b013e318184ff48,https://pubmed.ncbi.nlm.nih.gov/18827723/,Regional gray matter volume deficits in adolescents with first-episode psychosis.,no,,
11335691,OUP,Brain : a journal of neurology,2001,10.1093/brain/124.5.882,https://doi.org/10.1093/brain/124.5.882,https://pubmed.ncbi.nlm.nih.gov/11335691/,Neuropathological abnormalities in schizophrenia: evidence from magnetization transfer imaging.,no,,
14570821,OUP,Brain : a journal of neurology,2004,10.1093/brain/awh015,https://doi.org/10.1093/brain/awh015,https://pubmed.ncbi.nlm.nih.gov/14570821/,The structural brain correlates of neurological soft signs in AESOP first-episode psychoses study.,no,,
