pmid,type,source,full_text_path,in_included_set
10417245,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/10417245/text.txt,True
11304078,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/11304078/text.txt,True
15006650,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/15006650/text.txt,True
15538599,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/European archives of psychiatry and clinical neuroscience/15538599.html,True
15702141,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology/15702141.html,True
15812604,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/European archives of psychiatry and clinical neuroscience/15812604.html,True
16318996,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/The International journal of neuroscience/16318996.html,True
16685822,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention/16685822.html,True
17024324,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,"/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/Journal of neural transmission (Vienna, Austria : 1996)/17024324.html",True
17033628,incomplete,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs,/home/zorro/repos/autonima-results/experiments/scz_enigma/ace_outputs/html/Molecular psychiatry/17033628.html,True
