pmid,type,source,full_text_path,in_included_set
10022361,unavailable,pubget,,False
10025775,unavailable,pubget,,False
10211480,unavailable,pubget,,False
10219266,unavailable,pubget,,False
10219271,unavailable,pubget,,True
10319878,unavailable,pubget,,True
10386525,unavailable,pubget,,False
10398983,unavailable,pubget,,False
10415675,unavailable,pubget,,False
10448820,unavailable,pubget,,False
10449110,unavailable,pubget,,True
10450838,unavailable,pubget,,False
10493896,unavailable,pubget,,True
10499677,unavailable,pubget,,True
10528937,unavailable,pubget,,False
10536085,unavailable,pubget,,True
10552240,unavailable,pubget,,False
10561935,unavailable,pubget,,False
10563622,unavailable,pubget,,False
10565586,unavailable,pubget,,True
10575244,unavailable,pubget,,False
10642042,unavailable,pubget,,False
10644781,unavailable,pubget,,True
10648432,unavailable,pubget,,False
10676617,unavailable,pubget,,False
10704753,unavailable,pubget,,True
10745135,unavailable,pubget,,False
10750344,unavailable,pubget,,False
10768623,unavailable,pubget,,False
10772135,unavailable,pubget,,False
10775518,unavailable,pubget,,True
10802762,unavailable,pubget,,False
10815137,unavailable,pubget,,True
10830325,unavailable,pubget,,False
10881249,unavailable,pubget,,True
10883713,unavailable,pubget,,True
10887264,unavailable,pubget,,False
10911900,unavailable,pubget,,True
10930602,unavailable,pubget,,False
10937143,unavailable,pubget,,False
10937151,unavailable,pubget,,False
10961626,unavailable,pubget,,False
10971598,unavailable,pubget,,False
10999564,unavailable,pubget,,True
11051128,unavailable,pubget,,True
11061263,unavailable,pubget,,False
11077460,unavailable,pubget,,True
11080224,unavailable,pubget,,True
11082874,unavailable,pubget,,True
11094101,unavailable,pubget,,True
11094102,unavailable,pubget,,False
11112405,unavailable,pubget,,True
11114214,unavailable,pubget,,False
11114222,unavailable,pubget,,False
11133796,unavailable,pubget,,True
11137662,unavailable,pubget,,False
11153720,unavailable,pubget,,False
11160950,unavailable,pubget,,True
11167039,unavailable,pubget,,True
11207796,unavailable,pubget,,True
11211736,unavailable,pubget,,False
11290932,unavailable,pubget,,False
11296407,unavailable,pubget,,False
11305751,unavailable,pubget,,False
