pmid,type,source,full_text_path,in_included_set
11296094,unavailable,pubget,,True
15725432,unavailable,pubget,,True
19170662,unavailable,pubget,,True
19490513,unavailable,pubget,,True
20809855,unavailable,pubget,,True
20862456,unavailable,pubget,,True
24768717,unavailable,pubget,,True
24847853,unavailable,pubget,,True
24945709,unavailable,pubget,,True
25602039,unavailable,pubget,,True
25602040,unavailable,pubget,,True
25602041,unavailable,pubget,,True
25833968,unavailable,pubget,,True
29806553,unavailable,pubget,,True
30445892,unavailable,pubget,,True
30831621,unavailable,pubget,,True
30983543,unavailable,pubget,,True
31180232,unavailable,pubget,,True
31206172,unavailable,pubget,,True
