pmid,type,source,full_text_path,in_included_set
11296094,unavailable,pubget,,True
15725432,unavailable,pubget,,True
16914620,unavailable,pubget,,True
18509047,unavailable,pubget,,True
18996542,unavailable,pubget,,True
19170662,unavailable,pubget,,True
19490513,unavailable,pubget,,True
20862456,unavailable,pubget,,True
21142990,unavailable,pubget,,True
21492080,unavailable,pubget,,True
22026537,unavailable,pubget,,True
22513380,unavailable,pubget,,True
22970898,unavailable,pubget,,True
23757765,unavailable,pubget,,True
24118624,unavailable,pubget,,True
24672019,unavailable,pubget,,True
24945709,unavailable,pubget,,True
25359489,unavailable,pubget,,True
25602039,unavailable,pubget,,True
25602040,unavailable,pubget,,True
25602041,unavailable,pubget,,True
25899520,unavailable,pubget,,True
26427639,unavailable,pubget,,True
26732520,unavailable,pubget,,True
26863028,unavailable,pubget,,True
27894158,unavailable,pubget,,True
28512009,unavailable,pubget,,True
28891145,unavailable,pubget,,True
29560926,unavailable,pubget,,True
30445892,unavailable,pubget,,True
30831621,unavailable,pubget,,True
31099141,unavailable,pubget,,True
31180232,unavailable,pubget,,True
31206172,unavailable,pubget,,True
31790725,unavailable,pubget,,True
31801104,unavailable,pubget,,True
32102722,unavailable,pubget,,True
32403056,unavailable,pubget,,True
32415913,unavailable,pubget,,True
32454423,unavailable,pubget,,True
32602162,unavailable,pubget,,True
32757373,unavailable,pubget,,True
