run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,125,57,True
v2,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,265,113,True
v3,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,336,125,True
v4,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,429,136,True
v5,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,539,157,True
v5-annotation-only,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,313,93,True
v5-recent,1_reward_neutral_2020_wbonly,pooled_cue_reactivity,631,191,True
v1,2_drug_neutral_2020_wbonly,drug_cue_reactivity,52,25,True
v2,2_drug_neutral_2020_wbonly,drug_cue_reactivity,147,69,True
v3,2_drug_neutral_2020_wbonly,drug_cue_reactivity,200,80,True
v4,2_drug_neutral_2020_wbonly,drug_cue_reactivity,251,87,True
v5,2_drug_neutral_2020_wbonly,drug_cue_reactivity,281,94,True
v5-annotation-only,2_drug_neutral_2020_wbonly,drug_cue_reactivity,171,60,True
v5-recent,2_drug_neutral_2020_wbonly,drug_cue_reactivity,338,113,True
v1,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,74,34,True
v2,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,116,49,True
v3,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,133,53,True
v4,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,181,61,True
v5,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,277,78,True
v5-annotation-only,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,162,46,True
v5-recent,3_natural_neutral_2020_wbonly,natural_reward_cue_reactivity,312,94,True
v1,,all_abstract,731,197,False
v2,,all_abstract,738,197,False
v3,,all_abstract,734,197,False
v4,,all_abstract,734,197,False
v5,,all_abstract,796,200,False
v5-annotation-only,,all_abstract,446,99,False
v5-recent,,all_abstract,923,242,False
v1,,all_analyses,654,154,False
v2,,all_analyses,655,151,False
v3,,all_analyses,655,151,False
v4,,all_analyses,655,151,False
v5,,all_analyses,737,168,False
v5-annotation-only,,all_analyses,446,99,False
v5-recent,,all_analyses,855,203,False
v1,,all_studies,817,244,False
v2,,all_studies,824,244,False
v3,,all_studies,820,244,False
v4,,all_studies,820,244,False
v5,,all_studies,905,260,False
v5-annotation-only,,all_studies,446,99,False
v5-recent,,all_studies,1063,323,False
