id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
11296095-11296095_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
11296095-11296095_2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12381499-12381499_1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
12948696-12948696_1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
12948696-12948696_2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
12948696-12948696_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_2	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0
15867274-15867274_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15961048-15961048_1	3	2	1	1	3	0	1	2	0	1	0	0	0	0	0	0	0
15961048-15961048_2	3	3	1	1	6	0	1	2	0	0	0	0	0	0	0	0	0
16023086-16023086_1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16085533-16085533_1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
16133128-16133128_1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
16406379-16406379_1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16445991-16445991_1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16598192-16598192_1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
16815041-16815041_1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
16899037-16899037_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
16962339-16962339_1	1	3	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0
16979350-16979350_1	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0
17291784-17291784_1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17291784-17291784_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17488322-17488322_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
17566768-17566768_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17566768-17566768_2	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
17566768-17566768_3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17636559-17636559_1	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
17636559-17636559_2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
18266213-18266213_1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
18358744-18358744_1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
18358744-18358744_2	2	3	0	0	5	2	0	2	0	1	0	0	0	0	0	0	0
18391135-18391135_1	0	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0
