Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-68.0	-6.0	8.484791261189375	23448
PositiveTail 1a	-40.0	-50.0	-18.0	5.639222973602315	
PositiveTail 1b	-40.0	-80.0	-10.0	4.7961885683191126	
PositiveTail 1c	-46.0	-48.0	-20.0	4.7961885683191126	
PositiveTail 2	48.0	-68.0	-6.0	7.823928558628106	26360
PositiveTail 2a	40.0	-76.0	-8.0	7.120974116502514	
PositiveTail 2b	46.0	-60.0	-20.0	6.411262445483962	
PositiveTail 2c	44.0	-70.0	-12.0	6.411262445483962	
PositiveTail 3	46.0	12.0	28.0	7.36549085556262	5872
PositiveTail 3a	52.0	8.0	32.0	6.654738858317802	
PositiveTail 4	32.0	-54.0	54.0	7.120974116502514	8112
PositiveTail 4a	28.0	-60.0	50.0	5.639222973602315	
PositiveTail 4b	28.0	-70.0	40.0	2.6158720949329455	
PositiveTail 5	-22.0	-2.0	-20.0	6.887831561917553	70312
PositiveTail 5a	20.0	0.0	-18.0	6.887831561917553	
PositiveTail 5b	-24.0	-2.0	-16.0	6.887831561917553	
PositiveTail 5c	4.0	8.0	0.0	6.411262445483962	
PositiveTail 6	-4.0	50.0	0.0	6.887831561917553	17008
PositiveTail 6a	-4.0	44.0	6.0	6.411262445483962	
PositiveTail 6b	-6.0	54.0	0.0	5.90516015550252	
PositiveTail 6c	2.0	40.0	0.0	5.90516015550252	
PositiveTail 7	-50.0	8.0	28.0	6.654738858317802	5056
PositiveTail 8	-48.0	-36.0	44.0	5.366086567081571	11680
PositiveTail 8a	-28.0	-60.0	52.0	5.083063962849108	
PositiveTail 8b	-50.0	-32.0	42.0	4.7961885683191126	
PositiveTail 8c	-30.0	-56.0	54.0	4.7961885683191126	
PositiveTail 9	0.0	-48.0	26.0	4.504184175790946	7328
PositiveTail 9a	-2.0	-54.0	20.0	4.504184175790946	
PositiveTail 9b	-4.0	-48.0	28.0	4.2082781926795745	
PositiveTail 9c	-4.0	-50.0	18.0	4.2082781926795745	
PositiveTail 10	16.0	-26.0	-10.0	3.903981734947516	2864
PositiveTail 10a	20.0	-30.0	-4.0	3.594011953435343	
PositiveTail 10b	14.0	-24.0	0.0	2.948670838737363	
PositiveTail 10c	16.0	-32.0	-4.0	2.948670838737363	
PositiveTail 11	62.0	-22.0	30.0	2.948670838737363	440
PositiveTail 12	-50.0	-68.0	34.0	2.6158720949329455	296
PositiveTail 12a	-52.0	-64.0	26.0	1.9173859596460163	
PositiveTail 12b	-50.0	-62.0	36.0	1.9173859596460163	
PositiveTail 12c	-48.0	-64.0	28.0	1.9173859596460163	
PositiveTail 13	32.0	-74.0	26.0	2.6158720949329455	256
PositiveTail 13a	30.0	-74.0	34.0	1.9173859596460163	
PositiveTail 14	-18.0	42.0	42.0	2.6158720949329455	488
PositiveTail 15	-10.0	50.0	30.0	2.6158720949329455	120
PositiveTail 16	18.0	-82.0	-14.0	2.2728517323499804	80
PositiveTail 17	30.0	-6.0	46.0	2.2728517323499804	336
