id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21
12948696-12948696_1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12948696-12948696_2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12948696-12948696_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15867274-15867274_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15961048-15961048_1	2	2	1	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
15961048-15961048_2	2	2	1	1	1	1	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0
16445991-16445991_1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16815041-16815041_1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16962339-16962339_1	1	3	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
16979350-16979350_1	1	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17566768-17566768_1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17566768-17566768_2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17566768-17566768_3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17636559-17636559_1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
17636559-17636559_2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18358744-18358744_1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18358744-18358744_2	2	3	1	0	1	0	2	0	1	1	2	0	0	0	0	0	0	0	0	0	0
18460331-18460331_1	2	2	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
18460331-18460331_2	1	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18460331-18460331_3	1	4	1	1	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0
18460331-18460331_4	1	3	1	1	2	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0
18588532-18588532_1	1	1	1	1	1	1	5	0	1	1	0	0	1	0	0	0	0	0	0	0	0
18647397-18647397_1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
18647397-18647397_2	1	2	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18761592-18761592_1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18761592-18761592_2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18976696-18976696_1	2	1	4	1	1	1	6	1	0	0	3	0	0	0	0	0	0	0	0	0	0
18976696-18976696_2	2	4	2	1	3	1	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19636426-19636426_1	0	1	3	0	1	0	6	1	0	2	0	0	0	0	0	0	0	0	0	0	0
20147458-20147458_1	1	2	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20576388-20576388_1	2	2	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0
20576388-20576388_2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21718449-21718449_1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21718449-21718449_2	1	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21883951-21883951_1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21952129-21952129_1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21952129-21952129_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22332246-22332246_1	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22332246-22332246_3	1	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
22395731-22395731_1	1	0	0	1	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
22395731-22395731_2	2	2	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
22461323-22461323_1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22684096-22684096_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23051899-23051899_1	2	3	1	1	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0
23382517-23382517_1	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23382517-23382517_2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
