Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-50.0	-68.0	-6.0	8.781955521097098	15896
PositiveTail 1a	-42.0	-62.0	-16.0	5.014017508831441	
PositiveTail 1b	-42.0	-80.0	-10.0	5.014017508831441	
PositiveTail 1c	-38.0	-62.0	-18.0	4.621881361375845	
PositiveTail 2	48.0	-68.0	-6.0	8.396540662574298	20952
PositiveTail 2a	42.0	-60.0	-16.0	6.844991606430502	
PositiveTail 2b	40.0	-76.0	-8.0	6.844991606430502	
PositiveTail 2c	50.0	-58.0	-12.0	6.49449138504925	
PositiveTail 3	30.0	-54.0	56.0	6.844991606430502	9024
PositiveTail 3a	32.0	-60.0	48.0	5.014017508831441	
PositiveTail 3b	38.0	-50.0	54.0	4.222994521914303	
PositiveTail 3c	24.0	-64.0	52.0	3.8124046636636364	
PositiveTail 4	48.0	8.0	24.0	6.844991606430502	5520
PositiveTail 5	-56.0	-28.0	34.0	5.400641295432762	6872
PositiveTail 5a	-46.0	-34.0	42.0	5.400641295432762	
PositiveTail 5b	-54.0	-28.0	38.0	5.014017508831441	
PositiveTail 5c	-46.0	-30.0	36.0	3.8124046636636364	
PositiveTail 6	-48.0	4.0	28.0	5.400641295432762	4424
PositiveTail 6a	-46.0	16.0	26.0	2.0256027502026233	
PositiveTail 7	-22.0	0.0	-20.0	5.014017508831441	37104
PositiveTail 7a	-38.0	28.0	8.0	5.014017508831441	
PositiveTail 7b	-30.0	26.0	-16.0	5.014017508831441	
PositiveTail 7c	-28.0	-6.0	-24.0	5.014017508831441	
PositiveTail 8	-28.0	-60.0	52.0	5.014017508831441	5096
PositiveTail 8a	-28.0	-52.0	50.0	4.621881361375845	
PositiveTail 8b	-26.0	-64.0	44.0	4.222994521914303	
PositiveTail 8c	-24.0	-52.0	46.0	3.387298779517333	
PositiveTail 9	-32.0	-88.0	12.0	3.8124046636636364	2928
PositiveTail 9a	-24.0	-86.0	10.0	3.387298779517333	
PositiveTail 9b	-32.0	-88.0	4.0	2.953903642446595	
PositiveTail 9c	-20.0	-96.0	4.0	2.953903642446595	
PositiveTail 10	38.0	14.0	-18.0	3.8124046636636364	5344
PositiveTail 10a	30.0	22.0	-14.0	3.387298779517333	
PositiveTail 10b	34.0	10.0	-12.0	3.387298779517333	
PositiveTail 10c	32.0	24.0	-12.0	3.387298779517333	
PositiveTail 11	-4.0	36.0	6.0	3.8124046636636364	3704
PositiveTail 11a	2.0	42.0	6.0	3.387298779517333	
PositiveTail 11b	-8.0	44.0	0.0	3.387298779517333	
PositiveTail 11c	-2.0	42.0	8.0	3.387298779517333	
PositiveTail 12	42.0	34.0	0.0	3.387298779517333	1104
PositiveTail 12a	38.0	28.0	4.0	2.500260058627464	
PositiveTail 12b	42.0	34.0	-6.0	2.500260058627464	
PositiveTail 12c	36.0	28.0	-2.0	2.0256027502026233	
PositiveTail 13	62.0	-22.0	30.0	3.387298779517333	1576
PositiveTail 13a	50.0	-32.0	36.0	2.953903642446595	
PositiveTail 13b	64.0	-26.0	28.0	2.953903642446595	
PositiveTail 13c	58.0	-22.0	32.0	2.500260058627464	
PositiveTail 14	18.0	-26.0	-4.0	2.953903642446595	224
PositiveTail 15	-2.0	12.0	40.0	2.500260058627464	152
PositiveTail 16	-30.0	-6.0	54.0	2.500260058627464	104
PositiveTail 17	-42.0	-6.0	4.0	2.500260058627464	120
PositiveTail 18	20.0	-28.0	8.0	2.500260058627464	408
PositiveTail 19	24.0	-26.0	18.0	2.0256027502026233	136
PositiveTail 20	32.0	-2.0	48.0	2.0256027502026233	328
PositiveTail 21	14.0	-26.0	-16.0	2.0256027502026233	80
