pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
11515754,1,True,True,incomplete,v1;v4;v6,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of neural transmission (Vienna, Austria : 1996)/11515754.html"
11549754,1,True,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/11549754.html
15465974,1,True,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The American journal of psychiatry/15465974.html
16167185,1,True,True,incomplete,v1;v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Applied psychophysiology and biofeedback/16167185.html
21672322,1,True,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/21672322.html
17469913,1,True,True,unavailable,v5-annotation-only;v6,
10875899,2,False,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/elsevier_output/10875899/text.txt
12966318,2,False,True,incomplete,v4,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/12966318.html"
15174923,2,False,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Behavioral neuroscience/15174923.html
16290890,2,False,True,incomplete,v1;v4;v6,/home/zorro/repos/autonima-results/articles/elsevier_output/16290890/text.txt
16565998,2,False,True,incomplete,v1;v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The International journal of eating disorders/16565998.html
18084743,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Psychopharmacology/18084743.html
19025463,2,False,True,incomplete,v4;v6,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Cyberpsychology & behavior : the impact of the Internet, multimedia and virtual reality on behavior and society/19025463.html"
20495160,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of attention disorders/20495160.html
20695685,2,False,True,incomplete,v1;v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Experimental and clinical psychopharmacology/20695685.html
21717780,2,False,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Zhen ci yan jiu = Acupuncture research/21717780.html
23921439,2,False,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/European addiction research/23921439.html
24357646,2,False,True,incomplete,v1;v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Pediatric obesity/24357646.html
24371129,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Brain and nerve = Shinkei kenkyu no shinpo/24371129.html
24956915,2,False,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/International journal of psychiatry in medicine/24956915.html
26237321,2,False,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Experimental and clinical psychopharmacology/26237321.html
26613332,2,False,True,incomplete,v4;v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Hormone molecular biology and clinical investigation/26613332.html
27570893,2,False,True,incomplete,v4;v6,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Health psychology : official journal of the Division of Health Psychology, American Psychological Association/27570893.html"
30051327,2,False,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Brain imaging and behavior/30051327.html
32170447,2,False,True,incomplete,v6,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of neurology/32170447.html
32546139,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/32546139.html
11345973,2,False,True,unavailable,v6,
11426342,2,False,True,unavailable,v6,
11459880,2,False,True,unavailable,v6,
11726774,2,False,True,unavailable,v6,
11870922,2,False,True,unavailable,v6,
11960892,2,False,True,unavailable,v6,
12708533,2,False,True,unavailable,v6,
12904807,2,False,True,unavailable,v6,
15004563,2,False,True,unavailable,v6,
15129155,2,False,True,unavailable,v6,
15229057,2,False,True,unavailable,v6,
15891585,2,False,True,unavailable,v6,
16284969,2,False,True,unavailable,v6,
16422822,2,False,True,unavailable,v6,
16604320,2,False,True,unavailable,v6,
16735951,2,False,True,unavailable,v6,
16861608,2,False,True,unavailable,v6,
17158560,2,False,True,unavailable,v6,
17265148,2,False,True,unavailable,v6,
