stage,metric,value,ci_lower,ci_upper
search,true_positives,76,,
search,false_negatives,115,,
search,false_positives,223,,
search,recall,0.39790575916230364,0.3311606190997124,0.4686767872857821
search,precision,0.25418060200668896,0.20816141685129638,0.30643631344731515
abstract,true_positives,76,,
abstract,false_negatives,0,,
abstract,false_positives,160,,
abstract,recall_in_search,1.0,0.9518847317689024,0.9999999999999999
abstract,recall_all_meta,0.39790575916230364,0.3311606190997124,0.4686767872857821
abstract,precision,0.3220338983050847,0.26568021685671617,0.3840886305825938
fulltext,true_positives,49,,
fulltext,false_negatives,27,,
fulltext,false_positives,48,,
fulltext,additional_false_negatives,27,,
fulltext,recall_in_search,0.6447368421052632,0.5325617632032839,0.742983817045609
fulltext,recall_all_meta,0.25654450261780104,0.19983392576813855,0.3228552740741949
fulltext,precision,0.5051546391752577,0.40737305891143216,0.6025434834679033
fulltext_with_coords,true_positives,25,,
fulltext_with_coords,false_negatives,51,,
fulltext_with_coords,false_positives,17,,
fulltext_with_coords,recall_in_search,0.32894736842105265,0.2337912044636209,0.44056401887859675
fulltext_with_coords,recall_all_meta,0.13089005235602094,0.09025235207544363,0.186082886395191
fulltext_with_coords,precision,0.5952380952380952,0.4449404552817742,0.7295735232879093
