id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
11296095-11296095_analysis_0	1	0	0	0	0	0	0	0
11296095-11296095_analysis_1	0	0	0	0	0	0	0	0
11296095-11296095_analysis_2	1	0	0	0	0	0	0	0
11296095-11296095_analysis_3	1	0	0	0	0	0	0	0
11296095-11296095_analysis_4	0	0	0	0	0	0	0	0
11296095-11296095_analysis_5	1	0	0	0	0	0	0	0
11296095-11296095_analysis_6	0	0	0	0	0	0	0	0
12381499-12381499_analysis_0	9	0	0	0	0	0	0	0
12381499-12381499_analysis_1	9	0	0	0	0	0	0	0
12860777-12860777_analysis_0	2	0	0	0	0	0	0	0
12860777-12860777_analysis_1	0	0	0	0	0	0	0	0
14679386-14679386_analysis_0	5	0	0	0	0	0	0	0
14679386-14679386_analysis_1	2	0	0	0	0	0	0	0
14679386-14679386_analysis_2	8	0	0	0	0	0	0	0
14679386-14679386_analysis_3	3	0	0	0	0	0	0	0
14679386-14679386_analysis_4	1	0	0	0	0	0	0	0
14679386-14679386_analysis_5	0	0	0	0	0	0	0	0
14679386-14679386_analysis_6	2	0	0	0	0	0	0	0
15127179-15127179_analysis_0	4	0	0	0	0	0	0	0
15127179-15127179_analysis_1	4	0	0	0	0	0	0	0
16023086-16023086_analysis_0	1	0	0	0	0	0	0	0
16085533-16085533_analysis_0	2	0	0	0	0	0	0	0
16085533-16085533_analysis_1	2	0	0	0	0	0	0	0
16133128-16133128_analysis_0	3	0	0	0	0	0	0	0
16133128-16133128_analysis_1	10	0	0	0	0	0	0	0
16406379-16406379_analysis_0	1	0	0	0	0	0	0	0
16406379-16406379_analysis_1	4	0	0	0	0	0	0	0
16759342-16759342_analysis_0	1	0	0	0	0	0	0	0
16759342-16759342_analysis_1	2	0	0	0	0	0	0	0
16759342-16759342_analysis_2	10	0	0	0	0	0	0	0
16759342-16759342_analysis_3	0	0	0	0	0	0	0	0
16899037-16899037_analysis_0	3	0	0	0	0	0	0	0
16899037-16899037_analysis_1	1	0	0	0	0	0	0	0
16899037-16899037_analysis_2	0	0	0	0	0	0	0	0
17197102-17197102_analysis_0	3	0	0	0	0	0	0	0
17197102-17197102_analysis_1	3	0	0	0	0	0	0	0
17197102-17197102_analysis_2	1	0	0	0	0	0	0	0
17197102-17197102_analysis_3	1	0	0	0	0	0	0	0
17197102-17197102_analysis_4	0	0	0	0	0	0	0	0
17197102-17197102_analysis_5	0	0	0	0	0	0	0	0
17217932-17217932_analysis_0	1	0	0	1	0	0	0	0
17217932-17217932_analysis_2	7	0	0	1	0	0	0	0
17217932-17217932_analysis_3	1	2	1	0	0	0	0	0
17217932-17217932_analysis_4	4	0	0	0	0	0	0	0
17217932-17217932_analysis_5	4	0	0	0	0	0	0	0
17217932-17217932_analysis_6	22	0	0	0	0	0	0	0
17217932-17217932_analysis_7	2	0	0	0	0	0	0	0
17291784-17291784_analysis_0	3	0	0	0	0	0	0	0
17291784-17291784_analysis_1	0	0	0	0	0	0	0	0
17291784-17291784_analysis_2	2	0	0	0	0	0	0	0
