Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	12.0	8.0	-2.0	11.914791824389065	272576
PositiveTail 1a	-10.0	12.0	-4.0	11.46345795794971	
PositiveTail 1b	22.0	-2.0	-14.0	10.808675508382416	
PositiveTail 1c	-20.0	-2.0	-14.0	9.777894777947145	
PositiveTail 2	-48.0	8.0	28.0	8.488652525106282	6952
PositiveTail 2a	-50.0	22.0	20.0	2.2390844606500346	
PositiveTail 3	-28.0	-60.0	50.0	4.716880563982052	4424
PositiveTail 3a	-28.0	-52.0	56.0	4.522645173731618	
PositiveTail 3b	-24.0	-60.0	52.0	4.522645173731618	
PositiveTail 3c	-30.0	-52.0	52.0	4.327234604802081	
PositiveTail 4	36.0	-50.0	48.0	4.327234604802081	3648
PositiveTail 4a	30.0	-60.0	48.0	3.930494601086607	
PositiveTail 4b	28.0	-56.0	56.0	3.728642268181175	
PositiveTail 4c	36.0	-56.0	54.0	3.3176908526008497	
PositiveTail 5	-42.0	-40.0	42.0	3.728642268181175	832
PositiveTail 6	-24.0	30.0	52.0	3.109340106214744	1968
PositiveTail 6a	-16.0	34.0	44.0	2.89792948254125	
PositiveTail 6b	-26.0	30.0	46.0	2.6826423940572086	
PositiveTail 6c	-14.0	40.0	46.0	2.6826423940572086	
PositiveTail 7	26.0	42.0	36.0	2.89792948254125	224
PositiveTail 8	30.0	-8.0	54.0	2.4622797510632197	440
PositiveTail 9	-6.0	-18.0	40.0	2.2390844606500346	80
PositiveTail 10	4.0	-86.0	4.0	2.0122236045138213	184
PositiveTail 10a	8.0	-76.0	6.0	2.0122236045138213	
PositiveTail 10b	8.0	-84.0	2.0	2.0122236045138213	
