id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
10103096-10103096_analysis_0	3	0	0	0	0	0	0	0	0	0	0
10103096-10103096_analysis_1	2	0	0	0	0	0	0	0	0	0	0
11751032-11751032_analysis_0	4	0	0	0	0	0	0	0	0	0	0
12381499-12381499_analysis_0	7	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_0	5	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_1	1	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_2	8	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_3	3	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_4	1	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_5	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_6	2	0	0	0	0	0	0	0	0	0	0
15127179-15127179_analysis_0	5	0	0	0	0	0	0	0	0	0	0
15127179-15127179_analysis_1	3	0	0	0	0	0	0	0	0	0	0
15589112-15589112_analysis_0	6	0	0	0	0	0	0	0	0	0	0
15737663-15737663_analysis_0	3	0	0	0	0	0	0	0	0	0	0
15737663-15737663_analysis_1	0	0	0	0	0	0	0	0	0	0	0
15886020-15886020_analysis_0	13	0	0	0	0	0	0	0	0	0	0
15953495-15953495_analysis_0	4	0	0	0	0	0	0	0	0	0	0
16023086-16023086_analysis_0	1	0	0	0	0	0	0	0	0	0	0
16123763-16123763_analysis_0	1	0	0	0	0	0	0	0	0	0	0
16133128-16133128_analysis_0	2	0	0	0	0	0	0	0	0	0	0
16133128-16133128_analysis_1	10	0	0	0	0	0	0	0	0	0	0
16163517-16163517_analysis_0	21	0	0	0	0	0	0	0	0	0	0
16163517-16163517_analysis_1	9	0	0	0	0	0	0	0	0	0	0
16163517-16163517_analysis_2	7	0	0	0	0	0	0	0	0	0	0
16406379-16406379_analysis_0	1	0	0	0	0	0	0	0	0	0	0
16406379-16406379_analysis_1	4	0	0	0	0	0	0	0	0	0	0
16759342-16759342_analysis_0	0	0	0	0	0	0	0	0	0	0	0
16759342-16759342_analysis_1	2	0	0	0	0	0	0	0	0	0	0
16759342-16759342_analysis_2	8	0	0	0	0	0	0	0	0	0	0
16759342-16759342_analysis_3	0	0	0	0	0	0	0	0	0	0	0
16899037-16899037_analysis_0	4	0	0	0	0	0	0	0	0	0	0
16899037-16899037_analysis_1	1	0	0	0	0	0	0	0	0	0	0
16899037-16899037_analysis_2	0	0	0	0	0	0	0	0	0	0	0
17197102-17197102_analysis_0	1	1	0	0	0	0	0	0	0	0	0
17197102-17197102_analysis_1	2	0	0	0	0	0	0	0	0	0	0
17197102-17197102_analysis_2	3	0	0	0	0	0	0	0	0	0	0
17197102-17197102_analysis_3	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_0	1	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_2	6	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_3	0	1	2	0	1	0	0	0	0	0	0
17217932-17217932_analysis_4	3	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_5	2	1	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_6	20	1	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_7	1	0	0	0	0	0	0	0	0	0	0
17291784-17291784_analysis_1	2	0	0	0	0	0	0	0	0	0	0
17291784-17291784_analysis_3	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_1	0	1	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_2	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_4	0	1	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_5	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_6	4	0	0	0	0	0	0	0	0	0	0
17375140-17375140_analysis_0	7	0	0	0	0	0	0	0	0	0	0
17375140-17375140_analysis_1	1	0	0	0	0	0	0	0	0	0	0
17488322-17488322_analysis_0	1	0	0	0	0	0	0	0	0	0	0
17488322-17488322_analysis_2	3	0	0	0	0	0	0	0	0	0	0
17488322-17488322_analysis_4	0	0	0	0	0	0	0	0	0	0	0
17921372-17921372_analysis_0	2	0	0	0	0	0	0	0	0	0	0
17921372-17921372_analysis_1	1	0	0	0	0	0	0	0	0	0	0
17921372-17921372_analysis_2	4	1	0	0	0	0	0	1	0	0	0
18272290-18272290_analysis_0	4	0	0	0	0	0	0	0	0	0	0
18272290-18272290_analysis_1	3	0	0	0	0	0	0	0	0	0	0
18413289-18413289_analysis_0	10	0	0	0	0	0	0	0	0	0	0
18413289-18413289_analysis_1	35	0	0	0	0	0	0	0	0	0	0
18413289-18413289_analysis_2	16	0	0	0	0	0	0	0	0	0	0
18413289-18413289_analysis_3	11	0	0	0	0	0	0	0	0	0	0
18460331-18460331_analysis_0	12	1	0	0	0	0	0	0	0	0	0
18460331-18460331_analysis_1	7	0	1	0	0	0	0	0	0	0	0
18460331-18460331_analysis_2	17	1	0	0	0	0	0	0	0	0	0
18499348-18499348_analysis_0	12	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_0	4	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_11	3	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_13	1	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_2	4	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_4	3	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_5	0	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_6	1	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_8	0	0	0	0	0	0	0	0	0	0	0
18507736-18507736_analysis_9	0	0	0	0	0	0	0	0	0	0	0
18823721-18823721_analysis_0	15	1	0	0	0	0	0	0	0	0	0
18823721-18823721_analysis_1	6	1	1	0	0	0	0	0	0	0	0
18823721-18823721_analysis_2	9	0	0	0	0	0	0	0	0	0	0
18823721-18823721_analysis_3	19	0	0	0	0	0	0	0	0	0	0
18823721-18823721_analysis_4	4	1	1	0	0	0	0	0	0	0	0
