Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	12.0	8.0	-4.0	15.209447543381074	336808
PositiveTail 1a	-10.0	12.0	-6.0	15.00377417596574	
PositiveTail 1b	-24.0	-6.0	-14.0	14.045484324660412	
PositiveTail 1c	2.0	10.0	-2.0	13.350159390915884	
PositiveTail 2	-28.0	-62.0	50.0	5.572706644567973	6200
PositiveTail 2a	-30.0	-54.0	54.0	4.759919920444405	
PositiveTail 2b	-24.0	-62.0	46.0	4.593586586165755	
PositiveTail 2c	-42.0	-40.0	42.0	3.5678471177836384	
PositiveTail 3	36.0	-48.0	50.0	5.572706644567973	5864
PositiveTail 3a	30.0	-56.0	50.0	4.92511066967853	
PositiveTail 3b	30.0	-68.0	40.0	3.034987862889063	
PositiveTail 3c	34.0	-74.0	28.0	2.8540280472523043	
PositiveTail 4	40.0	32.0	32.0	3.213755981873999	560
PositiveTail 4a	32.0	36.0	28.0	2.298753695676013	
PositiveTail 5	-60.0	-26.0	32.0	2.8540280472523043	800
PositiveTail 5a	-54.0	-32.0	36.0	2.4861943170259573	
PositiveTail 5b	-58.0	-24.0	28.0	2.298753695676013	
PositiveTail 6	-54.0	-60.0	30.0	2.8540280472523043	816
PositiveTail 6a	-50.0	-52.0	32.0	2.110073170348473	
PositiveTail 6b	-48.0	-64.0	34.0	2.110073170348473	
PositiveTail 7	26.0	40.0	36.0	2.8540280472523043	336
PositiveTail 8	-50.0	-58.0	38.0	2.4861943170259573	128
PositiveTail 9	28.0	-8.0	54.0	2.4861943170259573	432
PositiveTail 9a	34.0	-4.0	50.0	2.110073170348473	
PositiveTail 10	54.0	-32.0	0.0	2.4861943170259573	144
PositiveTail 10a	54.0	-40.0	2.0	2.110073170348473	
PositiveTail 11	56.0	-26.0	36.0	2.298753695676013	264
PositiveTail 11a	60.0	-22.0	28.0	1.9196336218472823	
PositiveTail 12	-46.0	-66.0	24.0	2.110073170348473	152
PositiveTail 12a	-46.0	-62.0	34.0	1.9196336218472823	
PositiveTail 13	-36.0	2.0	52.0	2.110073170348473	88
PositiveTail 14	-26.0	36.0	40.0	2.110073170348473	88
PositiveTail 15	-16.0	48.0	26.0	2.110073170348473	104
