id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17
11296095-11296095_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16085533-16085533_analysis_0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
16133128-16133128_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16133128-16133128_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16406379-16406379_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16759342-16759342_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16899037-16899037_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17217932-17217932_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17307790-17307790_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17987060-17987060_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
