Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-6.0	42.0	18.0	2.5564445964549467	2016
PositiveTail 1a	0.0	44.0	12.0	2.0672881865218846	
PositiveTail 1b	-10.0	46.0	14.0	2.0672881865218846	
PositiveTail 1c	-2.0	40.0	12.0	2.0672881865218846	
PositiveTail 2	14.0	-88.0	8.0	2.5564445964549467	1320
PositiveTail 2a	22.0	-86.0	4.0	2.5564445964549467	
PositiveTail 2b	18.0	-92.0	10.0	2.0672881865218846	
PositiveTail 2c	18.0	-90.0	2.0	2.0672881865218846	
PositiveTail 3	26.0	-34.0	-14.0	2.5564445964549467	520
PositiveTail 4	-24.0	8.0	4.0	2.0672881865218846	520
PositiveTail 5	20.0	-8.0	-20.0	2.0672881865218846	808
PositiveTail 6	-44.0	-70.0	-6.0	1.7000829175447605	248
PositiveTail 7	-16.0	12.0	6.0	1.7000829175447605	144
PositiveTail 8	-2.0	-12.0	0.0	1.7000829175447605	128
PositiveTail 9	20.0	10.0	4.0	1.7000829175447605	792
PositiveTail 10	62.0	-40.0	6.0	1.7000829175447605	136
