id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11	PositiveTail 12	PositiveTail 13	PositiveTail 14	PositiveTail 15	PositiveTail 16	PositiveTail 17	PositiveTail 18	PositiveTail 19	PositiveTail 20	PositiveTail 21	PositiveTail 22
11296095-11296095_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11296095-11296095_analysis_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14679386-14679386_analysis_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16406379-16406379_analysis_0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17921372-17921372_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17921372-17921372_analysis_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18460331-18460331_analysis_0	7	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18460331-18460331_analysis_1	2	0	2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
18460331-18460331_analysis_2	7	0	3	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19028527-19028527_analysis_0	5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19028527-19028527_analysis_1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19129383-19129383_analysis_0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19260039-19260039_analysis_0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19636426-19636426_analysis_0	5	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
21464344-21464344_analysis_0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21593494-21593494_analysis_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22006991-22006991_analysis_7	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22155218-22155218_analysis_0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22155218-22155218_analysis_1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22230946-22230946_analysis_0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22281932-22281932_analysis_0	4	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22281932-22281932_analysis_2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22281932-22281932_analysis_4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
22381514-22381514_analysis_0	10	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22461323-22461323_analysis_0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
22461323-22461323_analysis_2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
