Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-16.0	-94.0	-6.0	3.438671540335929	3120
PositiveTail 1a	-12.0	-98.0	4.0	2.3596219359006567	
PositiveTail 1b	-14.0	-84.0	-2.0	2.3596219359006567	
PositiveTail 1c	-16.0	-90.0	-14.0	2.3596219359006567	
PositiveTail 2	42.0	0.0	2.0	3.250110526872181	4144
PositiveTail 2a	38.0	4.0	-6.0	3.250110526872181	
PositiveTail 2b	40.0	-2.0	4.0	3.250110526872181	
PositiveTail 2c	36.0	8.0	-6.0	2.9636073391063094	
PositiveTail 3	0.0	8.0	32.0	2.9636073391063094	1840
PositiveTail 3a	-2.0	10.0	40.0	2.9636073391063094	
PositiveTail 3b	0.0	4.0	34.0	2.6798190671603455	
PositiveTail 3c	-2.0	16.0	36.0	2.3596219359006567	
PositiveTail 4	34.0	-66.0	-16.0	2.9636073391063094	2488
PositiveTail 4a	44.0	-68.0	-14.0	2.6798190671603455	
PositiveTail 4b	38.0	-56.0	-14.0	2.3596219359006567	
PositiveTail 4c	34.0	-66.0	-10.0	2.3596219359006567	
PositiveTail 5	6.0	10.0	0.0	2.9636073391063094	1792
PositiveTail 5a	12.0	16.0	-2.0	2.9636073391063094	
PositiveTail 5b	0.0	10.0	-2.0	2.3596219359006567	
PositiveTail 5c	8.0	14.0	4.0	2.3596219359006567	
PositiveTail 6	-20.0	-4.0	-12.0	2.9636073391063094	976
PositiveTail 6a	-26.0	-10.0	-14.0	2.3596219359006567	
PositiveTail 6b	-20.0	-8.0	-8.0	2.3596219359006567	
PositiveTail 6c	-26.0	-14.0	-12.0	1.969725872625737	
PositiveTail 7	-48.0	-66.0	-12.0	2.6798190671603455	1272
PositiveTail 7a	-46.0	-72.0	-6.0	2.3596219359006567	
PositiveTail 7b	-44.0	-66.0	-14.0	2.3596219359006567	
PositiveTail 7c	-40.0	-58.0	-14.0	2.3596219359006567	
PositiveTail 8	-36.0	-6.0	8.0	2.6798190671603455	1264
PositiveTail 8a	-44.0	-2.0	2.0	2.3596219359006567	
PositiveTail 8b	-38.0	-10.0	10.0	2.3596219359006567	
PositiveTail 8c	-40.0	-8.0	2.0	1.969725872625737	
PositiveTail 9	-30.0	-76.0	28.0	2.6798190671603455	528
PositiveTail 9a	-28.0	-84.0	28.0	2.3596219359006567	
PositiveTail 10	52.0	8.0	34.0	2.6798190671603455	1672
PositiveTail 10a	42.0	6.0	32.0	1.969725872625737	
PositiveTail 10b	48.0	10.0	24.0	1.969725872625737	
PositiveTail 10c	50.0	2.0	30.0	1.969725872625737	
PositiveTail 11	20.0	-62.0	52.0	2.6798190671603455	672
PositiveTail 11a	20.0	-66.0	44.0	2.3596219359006567	
PositiveTail 11b	26.0	-64.0	52.0	2.3596219359006567	
PositiveTail 11c	20.0	-68.0	48.0	1.969725872625737	
PositiveTail 12	-52.0	-2.0	32.0	2.3596219359006567	1464
PositiveTail 12a	-50.0	6.0	26.0	2.3596219359006567	
PositiveTail 12b	-48.0	-2.0	34.0	2.3596219359006567	
PositiveTail 13	36.0	-86.0	6.0	2.3596219359006567	1280
PositiveTail 13a	42.0	-82.0	10.0	2.3596219359006567	
PositiveTail 13b	28.0	-88.0	8.0	1.969725872625737	
PositiveTail 13c	30.0	-88.0	-2.0	1.969725872625737	
PositiveTail 14	32.0	26.0	-16.0	2.3596219359006567	520
PositiveTail 15	34.0	-84.0	18.0	2.3596219359006567	144
PositiveTail 16	32.0	-76.0	30.0	2.3596219359006567	288
PositiveTail 17	22.0	-28.0	-2.0	2.3596219359006567	464
PositiveTail 18	-14.0	-2.0	-4.0	2.3596219359006567	904
PositiveTail 18a	-14.0	6.0	-6.0	2.3596219359006567	
PositiveTail 18b	-4.0	8.0	-2.0	1.969725872625737	
PositiveTail 19	12.0	-94.0	-2.0	2.3596219359006567	480
PositiveTail 19a	20.0	-92.0	2.0	1.969725872625737	
PositiveTail 20	-14.0	-22.0	4.0	2.3596219359006567	472
PositiveTail 20a	-10.0	-8.0	6.0	2.3596219359006567	
PositiveTail 20b	-10.0	-20.0	2.0	2.3596219359006567	
PositiveTail 20c	-10.0	-10.0	4.0	2.3596219359006567	
PositiveTail 21	-30.0	32.0	-10.0	2.3596219359006567	376
PositiveTail 22	-36.0	-60.0	-16.0	2.3596219359006567	120
PositiveTail 23	-38.0	18.0	8.0	2.3596219359006567	904
PositiveTail 23a	-34.0	10.0	8.0	2.3596219359006567	
PositiveTail 23b	-34.0	22.0	2.0	2.3596219359006567	
PositiveTail 23c	-32.0	12.0	4.0	2.3596219359006567	
PositiveTail 24	14.0	-16.0	-6.0	2.3596219359006567	168
PositiveTail 25	-18.0	-38.0	-2.0	1.969725872625737	80
PositiveTail 26	-20.0	-32.0	0.0	1.969725872625737	328
PositiveTail 27	-26.0	-56.0	-16.0	1.969725872625737	80
PositiveTail 28	50.0	28.0	24.0	1.969725872625737	352
