Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-44.0	-70.0	-10.0	3.2948835421794636	1552
PositiveTail 1a	-48.0	-64.0	-6.0	2.6367429211792803	
PositiveTail 1b	-48.0	-62.0	-14.0	2.3554124845831956	
PositiveTail 1c	-50.0	-76.0	-10.0	1.9730676194714811	
PositiveTail 2	-18.0	-92.0	-2.0	3.2948835421794636	2816
PositiveTail 2a	-26.0	-94.0	-2.0	2.6367429211792803	
PositiveTail 2b	-22.0	-92.0	-10.0	2.6367429211792803	
PositiveTail 2c	-20.0	-98.0	-2.0	2.6367429211792803	
PositiveTail 3	14.0	14.0	2.0	3.2948835421794636	3472
PositiveTail 3a	26.0	14.0	-2.0	2.6367429211792803	
PositiveTail 3b	18.0	8.0	14.0	2.6367429211792803	
PositiveTail 3c	30.0	8.0	2.0	2.6367429211792803	
PositiveTail 4	24.0	-90.0	6.0	3.144175707564724	4528
PositiveTail 4a	26.0	-90.0	-2.0	2.9211934239449264	
PositiveTail 4b	18.0	-96.0	2.0	2.9211934239449264	
PositiveTail 4c	18.0	-84.0	0.0	2.6367429211792803	
PositiveTail 5	-2.0	10.0	40.0	2.9211934239449264	1352
PositiveTail 5a	0.0	8.0	32.0	2.6367429211792803	
PositiveTail 5b	-2.0	16.0	36.0	2.6367429211792803	
PositiveTail 5c	0.0	4.0	34.0	2.3554124845831956	
PositiveTail 6	42.0	0.0	2.0	2.9211934239449264	2360
PositiveTail 6a	38.0	4.0	-6.0	2.9211934239449264	
PositiveTail 6b	40.0	-2.0	4.0	2.9211934239449264	
PositiveTail 6c	36.0	8.0	-6.0	2.6367429211792803	
PositiveTail 7	34.0	-66.0	-16.0	2.9211934239449264	2272
PositiveTail 7a	42.0	-62.0	-12.0	2.9211934239449264	
PositiveTail 7b	38.0	-70.0	-16.0	2.6367429211792803	
PositiveTail 7c	34.0	-66.0	-22.0	2.3554124845831956	
PositiveTail 8	-18.0	-30.0	-2.0	2.9211934239449264	1088
PositiveTail 8a	-24.0	-32.0	4.0	1.9730676194714811	
PositiveTail 8b	-18.0	-40.0	-4.0	1.9730676194714811	
PositiveTail 8c	-14.0	-34.0	6.0	1.9730676194714811	
PositiveTail 9	22.0	-30.0	-4.0	2.9211934239449264	992
PositiveTail 9a	24.0	-34.0	-12.0	1.9730676194714811	
PositiveTail 9b	28.0	-28.0	-2.0	1.9730676194714811	
PositiveTail 10	34.0	-84.0	18.0	2.6367429211792803	176
PositiveTail 11	30.0	-76.0	30.0	2.6367429211792803	288
PositiveTail 12	20.0	-62.0	52.0	2.6367429211792803	608
PositiveTail 13	-48.0	-2.0	36.0	2.6367429211792803	1632
PositiveTail 13a	-50.0	6.0	26.0	2.3554124845831956	
PositiveTail 13b	-48.0	-2.0	28.0	1.9730676194714811	
PositiveTail 14	-14.0	-22.0	4.0	2.6367429211792803	2360
PositiveTail 14a	-8.0	0.0	4.0	2.6367429211792803	
PositiveTail 14b	-8.0	-10.0	8.0	2.6367429211792803	
PositiveTail 14c	-10.0	-22.0	4.0	2.6367429211792803	
PositiveTail 15	-20.0	-4.0	-12.0	2.6367429211792803	392
PositiveTail 16	-44.0	0.0	0.0	2.6367429211792803	320
PositiveTail 17	60.0	-48.0	6.0	2.6367429211792803	432
PositiveTail 17a	62.0	-40.0	6.0	2.6367429211792803	
PositiveTail 18	-30.0	12.0	4.0	2.3554124845831956	352
PositiveTail 19	-40.0	-10.0	4.0	2.3554124845831956	696
PositiveTail 20	42.0	6.0	32.0	2.3554124845831956	808
PositiveTail 20a	52.0	8.0	34.0	2.3554124845831956	
PositiveTail 20b	44.0	6.0	38.0	1.9730676194714811	
PositiveTail 21	48.0	6.0	22.0	2.3554124845831956	112
PositiveTail 22	-6.0	40.0	16.0	1.9730676194714811	128
