pmid,table_id,table_label,x,y,z,p_value,region,size,statistic,groups
18391135,1,Table 1,-8.0,43.0,53.0,,superior medial frontal,,4.44,Alcohol-Beverage Comparison
18391135,1,Table 1,3.0,-92.0,16.0,,cuneus,,5.27,Alcohol-Beverage Comparison
18391135,1,Table 1,4.0,-95.0,12.0,,calcarine,,7.83,Alcohol-Beverage Comparison
18391135,1,Table 1,29.0,-88.0,24.0,,occipital,,4.29,Alcohol-Beverage Comparison
18391135,1,Table 1,8.0,-68.0,3.0,,lingual,,4.07,Alcohol-Beverage Comparison
18391135,1,Table 1,5.0,62.0,31.0,,superior medial frontal,,6.05,Alcohol-Beverage Comparison
18391135,1,Table 1,-1.0,26.0,31.0,,ant-cingular,,4.37,Alcohol-Beverage Comparison
18391135,1,Table 1,-45.0,-77.0,24.0,,middle occipital,,5.08,Alcohol-Beverage Comparison
18391135,1,Table 1,34.0,-81.0,27.0,,middle occipital,,4.22,Alcohol-Beverage Comparison
18391135,1,Table 1,4.0,-91.0,21.0,,cuneus,,4.51,Alcohol-Beverage Comparison
18391135,1,Table 1,-1.0,-61.0,17.0,,calcarine,,8.01,Alcohol-Beverage Comparison
18391135,1,Table 1,-39.0,27.0,-14.0,,inferior orbital frontal,,6.54,Alcohol-Beverage Comparison
18391135,1,Table 1,3.0,-79.0,-16.0,,cerebelum,,4.43,Alcohol-Beverage Comparison
18391135,1,Table 1,-18.0,41.0,40.0,,superior frontal,,5.49,Alcohol-Beverage Comparison
18391135,1,Table 1,-2.0,-37.0,35.0,,mid-cingulate,,4.56,Alcohol-Beverage Comparison
18391135,1,Table 1,1.0,90.0,20.0,,cuneus,,5.29,Alcohol-Beverage Comparison
18391135,1,Table 1,-3.0,-57.0,16.0,,calcarine,,4.93,Alcohol-Beverage Comparison
18391135,1,Table 1,5.0,63.0,18.0,,superior medial frontal,,5.53,Alcohol-Beverage Comparison
18391135,1,Table 1,17.0,-18.0,1.0,,thalamus,,4.13,Alcohol-Beverage Comparison
18391135,1,Table 1,1.0,59.0,-3.0,,med-frontal,,4.03,Alcohol-Beverage Comparison
18391135,1,Table 1,8.0,7.0,-8.0,,ventral striatum,,5.01,Alcohol-Beverage Comparison
18391135,1,Table 1,-21.0,-23.0,-14.0,,parahippocampus,,4.25,Alcohol-Beverage Comparison
18391135,1,Table 1,14.0,69.0,-15.0,,cerebelum,,4.93,Alcohol-Beverage Comparison
18391135,1,Table 1,29.0,-42.0,-18.0,,fusiform,,4.77,Alcohol-Beverage Comparison
18391135,1,Table 1,-7.0,-99.0,9.0,,calcarine,,3.99,Alcohol-Beverage Comparison
19968401,2,Table 1,19.0,30.0,31.0,,3,963,4.5,Cingulate
19968401,2,Table 1,52.0,2.0,3.0,,-30,155,4.5,Parietal Cortex
19968401,3,Table 2,1.0,-28.0,40.0,,7,Precuneus,99,
19968401,4,Table 3,21.0,47.0,28.0,,Superior Frontal Gyrus,171,5.0,Frontal Cortex
19968401,4,Table 3,-21.0,-10.0,55.0,,Precentral Gyrus,37,3.9,Frontal Cortex
19968401,4,Table 3,-51.0,2.0,7.0,,,285,4.7,Frontal Cortex
19968401,4,Table 3,-21.0,-16.0,59.0,,Middle Frontal Gyrus,31,3.8,Frontal Cortex
19968401,4,Table 3,-21.0,23.0,28.0,,,36,4.1,Frontal Cortex
19968401,4,Table 3,-33.0,20.0,25.0,,,185,4.1,Frontal Cortex
19968401,4,Table 3,-42.0,11.0,19.0,,Inferior Frontal Gyrus,212,4.3,Frontal Cortex
19968401,4,Table 3,21.0,11.0,28.0,,Anterior Cingulate,56,5.1,Cingulate
19968401,4,Table 3,21.0,-25.0,40.0,,,31,3.5,Cingulate
19968401,4,Table 3,-6.0,-22.0,16.0,,,31,4.4,Cingulate
19968401,4,Table 3,18.0,-31.0,46.0,,Posterior Cingulate,65,4.6,Cingulate
19968401,4,Table 3,60.0,-28.0,10.0,,Superior Temporal Gyrus,174,4.9,Temporal Cortex
19968401,4,Table 3,-54.0,-10.0,1.0,,,249,4.9,Temporal Cortex
19968401,4,Table 3,-12.0,-34.0,62.0,,Postcentral Gyrus,160,5.1,Parietal Cortex
19968401,4,Table 3,42.0,-31.0,43.0,,Inferior Parietal Lobe,147,4.0,Parietal Cortex
19968401,4,Table 3,42.0,-43.0,37.0,,,120,3.9,Parietal Cortex
19968401,4,Table 3,33.0,-58.0,40.0,,,272,5.1,Parietal Cortex
19968401,4,Table 3,-36.0,-43.0,31.0,,Supramarginal Gyrus,222,4.8,Parietal Cortex
19968401,4,Table 3,-15.0,32.0,4.0,,"Caudate Nucleus, White Matter",292,4.5,
19968401,4,Table 3,-21.0,-31.0,22.0,,,74,6.1,
19968401,4,Table 3,-15.0,-22.0,-14.0,,Hippocampus,719,6.8,
19968401,4,Table 3,-27.0,-37.0,1.0,,,97,4.4,
