stage,metric,value,ci_lower,ci_upper
search,true_positives,142,,
search,false_negatives,49,,
search,false_positives,1028,,
search,recall,0.743455497382199,0.6771447259258051,0.8001660742318614
search,precision,0.12136752136752137,0.1038843492358417,0.1413289742653871
abstract,true_positives,140,,
abstract,false_negatives,2,,
abstract,false_positives,425,,
abstract,recall_in_search,0.9859154929577465,0.9501030115661628,0.996129064878418
abstract,recall_all_meta,0.7329842931937173,0.6661011068186194,0.7906801965580722
abstract,precision,0.24778761061946902,0.2139711094567333,0.2850106809045904
fulltext,true_positives,135,,
fulltext,false_negatives,2,,
fulltext,false_positives,293,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,3,,
fulltext,false_negatives_all_texts,7,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,3,,
fulltext,recall_in_search,0.9854014598540146,0.9483358027023897,0.9959874654229369
fulltext,recall_fulltext_only,0.9854014598540146,0.9483358027023897,0.9959874654229369
fulltext,absolute_recall_all_texts,0.9507042253521126,0.9017454980238941,0.9759190366493402
fulltext,recall_all_meta,0.7068062827225131,0.6386779792636262,0.7667795821606281
fulltext,precision,0.31542056074766356,0.2732038953860283,0.36092120974511244
fulltext,precision_fulltext_only,0.31542056074766356,0.2732038953860283,0.36092120974511244
fulltext_with_coords,true_positives,104,,
fulltext_with_coords,false_negatives,33,,
fulltext_with_coords,false_positives,173,,
fulltext_with_coords,omitted_incomplete_fulltext,3,,
fulltext_with_coords,recall_in_search,0.7591240875912408,0.6810808223611243,0.8230315989689373
fulltext_with_coords,recall_all_meta,0.5445026178010471,0.4736905410072664,0.613559820311877
fulltext_with_coords,precision,0.37545126353790614,0.3204942800672324,0.43381562273918944
