pmid,type,source,full_text_path,in_included_set
10527065,unavailable,pubget,,True
11133312,unavailable,pubget,,True
11595100,unavailable,pubget,,True
11773433,unavailable,pubget,,True
11906219,unavailable,pubget,,True
11906224,unavailable,pubget,,True
15013828,unavailable,pubget,,True
15190354,unavailable,pubget,,True
15615089,unavailable,pubget,,True
15758048,unavailable,pubget,,True
15772354,unavailable,pubget,,True
15882649,unavailable,pubget,,True
15901409,unavailable,pubget,,True
16275018,unavailable,pubget,,True
16839292,unavailable,pubget,,True
17007234,unavailable,pubget,,True
17050709,unavailable,pubget,,True
17140674,unavailable,pubget,,True
17267613,unavailable,pubget,,True
17460071,unavailable,pubget,,True
17676057,unavailable,pubget,,True
18367612,unavailable,pubget,,True
18832559,unavailable,pubget,,True
19144587,unavailable,pubget,,True
19176813,unavailable,pubget,,True
19184997,unavailable,pubget,,True
19341805,unavailable,pubget,,True
19403795,unavailable,pubget,,True
19406906,unavailable,pubget,,True
19545578,unavailable,pubget,,True
19552309,unavailable,pubget,,True
19843618,unavailable,pubget,,True
20105435,unavailable,pubget,,True
20236568,unavailable,pubget,,True
20357688,unavailable,pubget,,True
20382629,unavailable,pubget,,True
20805539,unavailable,pubget,,True
20956614,unavailable,pubget,,True
21097307,unavailable,pubget,,True
21562201,unavailable,pubget,,True
21693490,unavailable,pubget,,True
21715632,unavailable,pubget,,True
21761686,unavailable,pubget,,True
21840129,unavailable,pubget,,True
21841202,unavailable,pubget,,True
21861675,unavailable,pubget,,True
22021252,unavailable,pubget,,True
22223079,unavailable,pubget,,True
22575329,unavailable,pubget,,True
22717205,unavailable,pubget,,True
23094592,unavailable,pubget,,True
23365241,unavailable,pubget,,True
23416451,unavailable,pubget,,True
23516304,unavailable,pubget,,True
23804108,unavailable,pubget,,True
23805999,unavailable,pubget,,True
23806137,unavailable,pubget,,True
23806174,unavailable,pubget,,True
23983029,unavailable,pubget,,True
23986267,unavailable,pubget,,True
24018008,unavailable,pubget,,True
24148027,unavailable,pubget,,True
24188368,unavailable,pubget,,True
24702449,unavailable,pubget,,True
24813149,unavailable,pubget,,True
24984958,unavailable,pubget,,True
25044747,unavailable,pubget,,True
25205006,unavailable,pubget,,True
25670029,unavailable,pubget,,True
25988224,unavailable,pubget,,True
26055632,unavailable,pubget,,True
26223291,unavailable,pubget,,True
26359751,unavailable,pubget,,True
26488590,unavailable,pubget,,True
26510167,unavailable,pubget,,True
26722848,unavailable,pubget,,True
27054437,unavailable,pubget,,True
27273474,unavailable,pubget,,True
27445213,unavailable,pubget,,True
27612435,unavailable,pubget,,True
27663021,unavailable,pubget,,True
28637289,unavailable,pubget,,True
28789578,unavailable,pubget,,True
28809668,unavailable,pubget,,True
28874449,unavailable,pubget,,True
28949286,unavailable,pubget,,True
29058357,unavailable,pubget,,True
29107769,unavailable,pubget,,True
29431647,unavailable,pubget,,True
29616472,unavailable,pubget,,True
29852777,unavailable,pubget,,True
30240509,unavailable,pubget,,True
30578340,unavailable,pubget,,True
30734849,unavailable,pubget,,True
8748865,unavailable,pubget,,True
8961762,unavailable,pubget,,True
