pmid,type,source,full_text_path,in_included_set
10619412,unavailable,pubget,,True
10920049,unavailable,pubget,,True
11257978,unavailable,pubget,,True
11304074,unavailable,pubget,,True
11410951,unavailable,pubget,,True
11527277,unavailable,pubget,,True
12202074,unavailable,pubget,,True
12679297,unavailable,pubget,,True
14580134,unavailable,pubget,,True
14700259,unavailable,pubget,,True
14709229,unavailable,pubget,,True
15563723,unavailable,pubget,,True
15924938,unavailable,pubget,,True
16229051,unavailable,pubget,,True
16928890,unavailable,pubget,,True
17136467,unavailable,pubget,,True
17204821,unavailable,pubget,,True
17306855,unavailable,pubget,,True
17360913,unavailable,pubget,,True
17978031,unavailable,pubget,,True
18211246,unavailable,pubget,,True
18316728,unavailable,pubget,,True
18375146,unavailable,pubget,,True
18843114,unavailable,pubget,,True
18973585,unavailable,pubget,,True
19118182,unavailable,pubget,,True
19231480,unavailable,pubget,,True
19393261,unavailable,pubget,,True
19401182,unavailable,pubget,,True
19413475,unavailable,pubget,,True
19449333,unavailable,pubget,,True
19478035,unavailable,pubget,,True
19587274,unavailable,pubget,,True
19642884,unavailable,pubget,,True
19643122,unavailable,pubget,,True
19897796,unavailable,pubget,,True
20034998,unavailable,pubget,,True
20617893,unavailable,pubget,,True
20844253,unavailable,pubget,,True
21452942,unavailable,pubget,,True
21613466,unavailable,pubget,,True
21618664,unavailable,pubget,,True
22184233,unavailable,pubget,,True
22332805,unavailable,pubget,,True
22475855,unavailable,pubget,,True
22674274,unavailable,pubget,,True
22753440,unavailable,pubget,,True
22875866,unavailable,pubget,,True
23019120,unavailable,pubget,,True
23055505,unavailable,pubget,,True
23341598,unavailable,pubget,,True
23345209,unavailable,pubget,,True
23370060,unavailable,pubget,,True
23883858,unavailable,pubget,,True
23883860,unavailable,pubget,,True
24012311,unavailable,pubget,,True
24070059,unavailable,pubget,,True
24227738,unavailable,pubget,,True
24345177,unavailable,pubget,,True
24396046,unavailable,pubget,,True
24480302,unavailable,pubget,,True
24523536,unavailable,pubget,,True
24612482,unavailable,pubget,,True
24738771,unavailable,pubget,,True
24745955,unavailable,pubget,,True
24828652,unavailable,pubget,,True
24996120,unavailable,pubget,,True
25471568,unavailable,pubget,,True
26026815,unavailable,pubget,,True
26733531,unavailable,pubget,,True
26739226,unavailable,pubget,,True
26787854,unavailable,pubget,,True
27068178,unavailable,pubget,,True
27344239,unavailable,pubget,,True
27798143,unavailable,pubget,,True
28129058,unavailable,pubget,,True
28241401,unavailable,pubget,,True
29124352,unavailable,pubget,,True
29218570,unavailable,pubget,,True
29355370,unavailable,pubget,,True
29636395,unavailable,pubget,,True
29683390,unavailable,pubget,,True
29784814,unavailable,pubget,,True
30565343,unavailable,pubget,,True
30572112,unavailable,pubget,,True
30726181,unavailable,pubget,,True
31306138,unavailable,pubget,,True
9549495,unavailable,pubget,,True
9582242,unavailable,pubget,,True
9588775,unavailable,pubget,,True
9736764,unavailable,pubget,,True
