pmid,type,source,full_text_path,in_included_set
11283394,unavailable,pubget,,True
11726375,unavailable,pubget,,True
15013828,unavailable,pubget,,True
15486494,unavailable,pubget,,True
15652321,unavailable,pubget,,True
16116457,unavailable,pubget,,True
16180619,unavailable,pubget,,True
16395871,unavailable,pubget,,True
16839292,unavailable,pubget,,True
17182771,unavailable,pubget,,True
17286075,unavailable,pubget,,True
18855544,unavailable,pubget,,True
19034901,unavailable,pubget,,True
19404149,unavailable,pubget,,True
19406906,unavailable,pubget,,True
19524050,unavailable,pubget,,True
19552309,unavailable,pubget,,True
19793990,unavailable,pubget,,True
20105435,unavailable,pubget,,True
20433245,unavailable,pubget,,True
20805539,unavailable,pubget,,True
20807576,unavailable,pubget,,True
21098807,unavailable,pubget,,True
21145211,unavailable,pubget,,True
21525269,unavailable,pubget,,True
21725803,unavailable,pubget,,True
22081869,unavailable,pubget,,True
22415119,unavailable,pubget,,True
22486330,unavailable,pubget,,True
23054671,unavailable,pubget,,True
23094707,unavailable,pubget,,True
23163417,unavailable,pubget,,True
23385293,unavailable,pubget,,True
23410034,unavailable,pubget,,True
23442226,unavailable,pubget,,True
23595762,unavailable,pubget,,True
23670589,unavailable,pubget,,True
23770804,unavailable,pubget,,True
23859647,unavailable,pubget,,True
24076035,unavailable,pubget,,True
24116842,unavailable,pubget,,True
24381231,unavailable,pubget,,True
24491458,unavailable,pubget,,True
24526181,unavailable,pubget,,True
24672019,unavailable,pubget,,True
24741049,unavailable,pubget,,True
24763631,unavailable,pubget,,True
24814016,unavailable,pubget,,True
24899706,unavailable,pubget,,True
25068669,unavailable,pubget,,True
25205006,unavailable,pubget,,True
25644499,unavailable,pubget,,True
25670029,unavailable,pubget,,True
25724688,unavailable,pubget,,True
25817710,unavailable,pubget,,True
25988224,unavailable,pubget,,True
26089342,unavailable,pubget,,True
26239549,unavailable,pubget,,True
26354924,unavailable,pubget,,True
26510167,unavailable,pubget,,True
26961943,unavailable,pubget,,True
27683898,unavailable,pubget,,True
28056655,unavailable,pubget,,True
28247156,unavailable,pubget,,True
28324983,unavailable,pubget,,True
28657480,unavailable,pubget,,True
28697386,unavailable,pubget,,True
28803942,unavailable,pubget,,True
28949824,unavailable,pubget,,True
29355105,unavailable,pubget,,True
29460357,unavailable,pubget,,True
29616472,unavailable,pubget,,True
29700724,unavailable,pubget,,True
29802593,unavailable,pubget,,True
30243683,unavailable,pubget,,True
30370983,unavailable,pubget,,True
30633429,unavailable,pubget,,True
31306118,unavailable,pubget,,True
8726444,unavailable,pubget,,True
