run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1,adm_july2019,ambiguous_dm,188,76,True
v2,adm_july2019,ambiguous_dm,360,92,True
v2-annotation-only,adm_july2019,ambiguous_dm,99,22,True
v1,rdm_july2019,risky_dm,531,145,True
v2,rdm_july2019,risky_dm,608,124,True
v2-annotation-only,rdm_july2019,risky_dm,53,11,True
v1,perceptual_dm_july2019,perceptual_dm,238,69,True
v2,perceptual_dm_july2019,perceptual_dm,223,57,True
v2-annotation-only,perceptual_dm_july2019,perceptual_dm,67,19,True
v1,,all_abstract,1363,338,False
v2,,all_abstract,1363,338,False
v2-annotation-only,,all_abstract,232,53,False
v1,,all_analyses,1281,283,False
v2,,all_analyses,1281,283,False
v2-annotation-only,,all_analyses,232,53,False
v1,,all_studies,1390,352,False
v2,,all_studies,1391,353,False
v2-annotation-only,,all_studies,232,53,False
