Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	42.0	10.0	28.0	3.8454068	4288
PositiveTail 1a	44.0	10.0	20.0	3.7395973	
PositiveTail 1b	38.0	4.0	36.0	2.838083	
PositiveTail 1c	50.0	12.0	20.0	2.838083	
PositiveTail 2	-36.0	50.0	10.0	2.838083	1376
PositiveTail 2a	-44.0	48.0	8.0	1.7054871	
PositiveTail 2b	-38.0	40.0	14.0	1.7054871	
PositiveTail 2c	-36.0	48.0	2.0	1.7054871	
PositiveTail 3	2.0	16.0	44.0	2.838083	1128
PositiveTail 3a	-2.0	24.0	42.0	2.2317934	
PositiveTail 3b	6.0	22.0	42.0	2.2317934	
PositiveTail 3c	2.0	28.0	36.0	2.2317934	
PositiveTail 4	-46.0	4.0	36.0	2.2317934	512
PositiveTail 5	-10.0	10.0	-4.0	2.2317934	408
PositiveTail 6	0.0	20.0	30.0	2.2317934	424
PositiveTail 6a	8.0	20.0	32.0	1.7054871	
PositiveTail 7	34.0	-76.0	40.0	2.2317934	312
PositiveTail 8	34.0	22.0	4.0	2.2317934	448
PositiveTail 9	18.0	4.0	-8.0	1.7054871	320
PositiveTail 10	32.0	10.0	42.0	1.7054871	80
