Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-2.0	14.0	50.0	7.612152	7208
PositiveTail 1a	2.0	18.0	44.0	5.0324216	
PositiveTail 1b	-4.0	14.0	60.0	3.9714706	
PositiveTail 1c	6.0	12.0	56.0	3.9714706	
PositiveTail 2	38.0	22.0	0.0	7.612152	7304
PositiveTail 2a	32.0	28.0	2.0	5.9896293	
PositiveTail 2b	42.0	24.0	-4.0	5.5260673	
PositiveTail 2c	28.0	28.0	0.0	5.5260673	
PositiveTail 3	-34.0	24.0	-2.0	6.4348493	4984
PositiveTail 3a	-32.0	28.0	6.0	5.5260673	
PositiveTail 3b	-28.0	16.0	-2.0	5.0324216	
PositiveTail 3c	-26.0	28.0	6.0	5.0324216	
PositiveTail 4	-46.0	6.0	38.0	5.5260673	4256
PositiveTail 4a	-44.0	0.0	26.0	4.510969	
PositiveTail 4b	-40.0	2.0	34.0	4.510969	
PositiveTail 4c	-48.0	4.0	26.0	4.510969	
PositiveTail 5	-44.0	-48.0	46.0	5.0324216	6144
PositiveTail 5a	-34.0	-46.0	40.0	3.9714706	
PositiveTail 5b	-18.0	-62.0	54.0	3.402022	
PositiveTail 5c	-26.0	-62.0	52.0	3.402022	
PositiveTail 6	30.0	0.0	52.0	4.510969	2488
PositiveTail 6a	30.0	-10.0	58.0	2.125017	
PositiveTail 6b	36.0	6.0	48.0	2.125017	
PositiveTail 7	48.0	6.0	28.0	3.9714706	4136
PositiveTail 7a	50.0	10.0	18.0	3.402022	
PositiveTail 7b	44.0	8.0	30.0	3.402022	
PositiveTail 7c	44.0	12.0	16.0	3.402022	
PositiveTail 8	42.0	-42.0	50.0	3.9714706	1448
PositiveTail 8a	48.0	-50.0	52.0	3.402022	
PositiveTail 8b	50.0	-42.0	50.0	2.7860677	
PositiveTail 8c	38.0	-40.0	52.0	2.125017	
PositiveTail 9	-28.0	-6.0	56.0	3.402022	1184
PositiveTail 9a	-34.0	0.0	58.0	2.7860677	
PositiveTail 9b	-28.0	-8.0	52.0	2.7860677	
PositiveTail 9c	-30.0	0.0	56.0	2.125017	
PositiveTail 10	20.0	-92.0	-2.0	2.7860677	288
PositiveTail 10a	22.0	-100.0	0.0	2.125017	
PositiveTail 10b	26.0	-90.0	-4.0	2.125017	
PositiveTail 11	24.0	-66.0	60.0	2.125017	208
PositiveTail 12	32.0	-68.0	32.0	2.125017	88
