pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
11133312,1,True,True,unavailable,v1;v2-annotation-only;v3,
11906224,1,True,True,unavailable,v1;v2-annotation-only;v3,
14700259,1,True,True,unavailable,v2-annotation-only,
18572984,1,True,True,unavailable,v2-annotation-only,
19897796,1,True,True,unavailable,v1;v2-annotation-only;v3,
20805539,1,True,True,unavailable,v1;v2-annotation-only;v3,
19048446,2,False,True,incomplete,v1;v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of clinical and experimental neuropsychology/19048446.html
21098967,2,False,True,incomplete,v1;v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/21098967.html
28182902,2,False,True,incomplete,v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/28182902.html
29771359,2,False,True,incomplete,v1;v3,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/29771359.html
10527065,2,False,True,unavailable,v1;v3,
11595100,2,False,True,unavailable,v1;v3,
15486494,2,False,True,unavailable,v1;v3,
15772354,2,False,True,unavailable,v1;v3,
16180619,2,False,True,unavailable,v1;v3,
16395871,2,False,True,unavailable,v1;v3,
16839292,2,False,True,unavailable,v1;v3,
17007234,2,False,True,unavailable,v1;v3,
18832559,2,False,True,unavailable,v1;v3,
19176813,2,False,True,unavailable,v1;v3,
19184997,2,False,True,unavailable,v1;v3,
19552309,2,False,True,unavailable,v1;v3,
20236568,2,False,True,unavailable,v1;v3,
22021252,2,False,True,unavailable,v1;v3,
22486330,2,False,True,unavailable,v1;v3,
25205006,2,False,True,unavailable,v1;v3,
25670029,2,False,True,unavailable,v1;v3,
26359751,2,False,True,unavailable,v1;v3,
28789578,2,False,True,unavailable,v1;v3,
11283394,3,False,False,unavailable,v1;v3,
11726375,3,False,False,unavailable,v1;v3,
11773433,3,False,False,unavailable,v1;v3,
11906219,3,False,False,unavailable,v1;v3,
15615089,3,False,False,unavailable,v1;v3,
15758048,3,False,False,unavailable,v1;v3,
17050709,3,False,False,unavailable,v1;v3,
17182771,3,False,False,unavailable,v1;v3,
17286075,3,False,False,unavailable,v1;v3,
19034901,3,False,False,unavailable,v1;v3,
19403795,3,False,False,unavailable,v1;v3,
19404149,3,False,False,unavailable,v1;v3,
19406906,3,False,False,unavailable,v1;v3,
20382629,3,False,False,unavailable,v1;v3,
21097307,3,False,False,unavailable,v1;v3,
21562201,3,False,False,unavailable,v1;v3,
21693490,3,False,False,unavailable,v1;v3,
21715632,3,False,False,unavailable,v1;v3,
21725803,3,False,False,unavailable,v1;v3,
21761686,3,False,False,unavailable,v1;v3,
21861675,3,False,False,unavailable,v1;v3,
22081869,3,False,False,unavailable,v1;v3,
22415119,3,False,False,unavailable,v1;v3,
23054671,3,False,False,unavailable,v1;v3,
23094592,3,False,False,unavailable,v1;v3,
23094707,3,False,False,unavailable,v1;v3,
23163417,3,False,False,unavailable,v1;v3,
23365241,3,False,False,unavailable,v1;v3,
23385293,3,False,False,unavailable,v1;v3,
23416451,3,False,False,unavailable,v1;v3,
23595762,3,False,False,unavailable,v1;v3,
23670589,3,False,False,unavailable,v1;v3,
23770804,3,False,False,unavailable,v1;v3,
23806137,3,False,False,unavailable,v1;v3,
23806174,3,False,False,unavailable,v1;v3,
23983029,3,False,False,unavailable,v1;v3,
23986267,3,False,False,unavailable,v1;v3,
24018008,3,False,False,unavailable,v1;v3,
24116842,3,False,False,unavailable,v1;v3,
24188368,3,False,False,unavailable,v1;v3,
24381231,3,False,False,unavailable,v1;v3,
24523536,3,False,False,unavailable,v1;v3,
24702449,3,False,False,unavailable,v1;v3,
24763631,3,False,False,unavailable,v1;v3,
24828652,3,False,False,unavailable,v1;v3,
24984958,3,False,False,unavailable,v1;v3,
26055632,3,False,False,unavailable,v1;v3,
26354924,3,False,False,unavailable,v1;v3,
26488590,3,False,False,unavailable,v1;v3,
26722848,3,False,False,unavailable,v1;v3,
27273474,3,False,False,unavailable,v1;v3,
27445213,3,False,False,unavailable,v1;v3,
27683898,3,False,False,unavailable,v1;v3,
28056655,3,False,False,unavailable,v1;v3,
28637289,3,False,False,unavailable,v1;v3,
28809668,3,False,False,unavailable,v1;v3,
29058357,3,False,False,unavailable,v1;v3,
29124352,3,False,False,unavailable,v1;v3,
29355105,3,False,False,unavailable,v1;v3,
29460357,3,False,False,unavailable,v1;v3,
29616472,3,False,False,unavailable,v1;v3,
29802593,3,False,False,unavailable,v1;v3,
29852777,3,False,False,unavailable,v1;v3,
30240509,3,False,False,unavailable,v1;v3,
30370983,3,False,False,unavailable,v1;v3,
30578340,3,False,False,unavailable,v1;v3,
30633429,3,False,False,unavailable,v1;v3,
30734849,3,False,False,unavailable,v1;v3,
31306118,3,False,False,unavailable,v1;v3,
8726444,3,False,False,unavailable,v1;v3,
8748865,3,False,False,unavailable,v1;v3,
8961762,3,False,False,unavailable,v1;v3,
