stage,metric,value,ci_lower,ci_upper
search,true_positives,92,,
search,false_negatives,60,,
search,false_positives,676,,
search,recall,0.6052631578947368,0.5258812217399832,0.6794554791152442
search,precision,0.11979166666666667,0.09869743559435992,0.144670633708979
abstract,true_positives,91,,
abstract,false_negatives,1,,
abstract,false_positives,490,,
abstract,recall_in_search,0.9891304347826086,0.9409707111384389,0.9980787204236383
abstract,recall_all_meta,0.5986842105263158,0.519254675572563,0.6732484814792127
abstract,precision,0.1566265060240964,0.12933937730343922,0.1884246121254933
fulltext,true_positives,10,,
fulltext,false_negatives,1,,
fulltext,false_positives,34,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,80,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,82,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9090909090909091,0.6226353745137962,0.9837682477371741
fulltext,recall_fulltext_only,0.9090909090909091,0.6226353745137962,0.9837682477371741
fulltext,absolute_recall_all_texts,0.10869565217391304,0.060120875898424256,0.1886395788519138
fulltext,recall_all_meta,0.06578947368421052,0.03612441662263905,0.11686169234954807
fulltext,precision,0.22727272727272727,0.12841810830185085,0.36992642867015674
fulltext,precision_fulltext_only,0.22727272727272727,0.12841810830185085,0.36992642867015674
fulltext_with_coords,true_positives,9,,
fulltext_with_coords,false_negatives,2,,
fulltext_with_coords,false_positives,19,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.8181818181818182,0.5230138624217553,0.9486333993289995
fulltext_with_coords,recall_all_meta,0.05921052631578947,0.031459946573578916,0.1086926185951565
fulltext_with_coords,precision,0.32142857142857145,0.1793304754342074,0.5066149544436882
