stage,metric,value,ci_lower,ci_upper
search,true_positives,87,,
search,false_negatives,66,,
search,false_positives,0,,
search,recall,0.5686274509803921,0.4894168962605358,0.6444761525224401
search,precision,1.0,0.957711004649852,1
abstract,true_positives,44,,
abstract,false_negatives,43,,
abstract,false_positives,537,,
abstract,recall_in_search,0.5057471264367817,0.4026891499485618,0.6083190225186779
abstract,recall_all_meta,0.2875816993464052,0.22175456746761424,0.3638145672517459
abstract,precision,0.0757314974182444,0.05689556565903105,0.10014114308398585
fulltext,true_positives,38,,
fulltext,false_negatives,2,,
fulltext,false_positives,397,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,8,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,49,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.95,0.834958291820748,0.9861796228538989
fulltext,recall_fulltext_only,0.95,0.834958291820748,0.9861796228538989
fulltext,absolute_recall_all_texts,0.4367816091954023,0.33742375517786577,0.5414863476824978
fulltext,recall_all_meta,0.24836601307189543,0.18662917039145915,0.322429650737629
fulltext,precision,0.08735632183908046,0.06430476646676749,0.11763240630810161
fulltext,precision_fulltext_only,0.08735632183908046,0.06430476646676749,0.11763240630810161
fulltext_with_coords,true_positives,31,,
fulltext_with_coords,false_negatives,9,,
fulltext_with_coords,false_positives,26,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.775,0.6249660359590695,0.8768404674532148
fulltext_with_coords,recall_all_meta,0.20261437908496732,0.14657169440391038,0.2732250942031939
fulltext_with_coords,precision,0.543859649122807,0.41590460831272247,0.6662760049518861
