pmid,type,source,full_text_path,in_included_set
10050895,unavailable,pubget,,True
10206162,unavailable,pubget,,True
10223261,unavailable,pubget,,True
10226314,unavailable,pubget,,True
10227653,unavailable,pubget,,True
10325452,unavailable,pubget,,True
10364643,unavailable,pubget,,True
10374757,unavailable,pubget,,True
10380153,unavailable,pubget,,True
10412530,unavailable,pubget,,True
10436338,unavailable,pubget,,True
10436345,unavailable,pubget,,True
10457954,unavailable,pubget,,True
10520947,unavailable,pubget,,True
10536924,unavailable,pubget,,True
10553987,unavailable,pubget,,True
10593699,unavailable,pubget,,True
10604746,unavailable,pubget,,True
10632099,unavailable,pubget,,True
10651032,unavailable,pubget,,True
10723172,unavailable,pubget,,True
10765042,unavailable,pubget,,True
10775534,unavailable,pubget,,True
10795100,unavailable,pubget,,True
10831030,unavailable,pubget,,True
10835938,unavailable,pubget,,True
10940679,unavailable,pubget,,True
10940680,unavailable,pubget,,True
10965365,unavailable,pubget,,True
11032614,unavailable,pubget,,True
11045680,unavailable,pubget,,True
11071507,unavailable,pubget,,True
11103681,unavailable,pubget,,True
11117541,unavailable,pubget,,True
11132942,unavailable,pubget,,True
11149700,unavailable,pubget,,True
11193177,unavailable,pubget,,True
11209521,unavailable,pubget,,True
11217688,unavailable,pubget,,True
11288857,unavailable,pubget,,True
11305868,unavailable,pubget,,True
11320160,unavailable,pubget,,True
11320162,unavailable,pubget,,True
11486904,unavailable,pubget,,True
11514641,unavailable,pubget,,True
11563438,unavailable,pubget,,True
11598311,unavailable,pubget,,True
11606679,unavailable,pubget,,True
11673158,unavailable,pubget,,True
11790639,unavailable,pubget,,True
11829209,unavailable,pubget,,True
11834198,unavailable,pubget,,True
11844889,unavailable,pubget,,True
11851030,unavailable,pubget,,True
11889239,unavailable,pubget,,True
11890488,unavailable,pubget,,True
11917495,unavailable,pubget,,True
11929581,unavailable,pubget,,True
11998736,unavailable,pubget,,True
12022068,unavailable,pubget,,True
12034784,unavailable,pubget,,True
12043417,unavailable,pubget,,True
12053127,unavailable,pubget,,True
12080488,unavailable,pubget,,True
12080867,unavailable,pubget,,True
12135962,unavailable,pubget,,True
12143928,unavailable,pubget,,True
12146805,unavailable,pubget,,True
12166102,unavailable,pubget,,True
12223382,unavailable,pubget,,True
12244085,unavailable,pubget,,True
12390977,unavailable,pubget,,True
12476580,unavailable,pubget,,True
12553341,unavailable,pubget,,True
12564772,unavailable,pubget,,True
12593416,unavailable,pubget,,True
12599119,unavailable,pubget,,True
12604293,unavailable,pubget,,True
12607227,unavailable,pubget,,True
12682334,unavailable,pubget,,True
12684997,unavailable,pubget,,True
12716263,unavailable,pubget,,True
12717671,unavailable,pubget,,True
12733681,unavailable,pubget,,True
12734667,unavailable,pubget,,True
12749325,unavailable,pubget,,True
12755036,unavailable,pubget,,True
12768524,unavailable,pubget,,True
12783250,unavailable,pubget,,True
12796837,unavailable,pubget,,True
12823502,unavailable,pubget,,True
12833310,unavailable,pubget,,True
12833367,unavailable,pubget,,True
12844524,unavailable,pubget,,True
12876259,unavailable,pubget,,True
12901777,unavailable,pubget,,True
12910839,unavailable,pubget,,True
12938127,unavailable,pubget,,True
12955398,unavailable,pubget,,True
12975292,unavailable,pubget,,True
13130343,unavailable,pubget,,True
14509045,unavailable,pubget,,True
14551697,unavailable,pubget,,True
14560061,unavailable,pubget,,True
14567169,unavailable,pubget,,True
14568818,unavailable,pubget,,True
14626112,unavailable,pubget,,True
14639697,unavailable,pubget,,True
14716732,unavailable,pubget,,True
14739838,unavailable,pubget,,True
14746249,unavailable,pubget,,True
14762593,unavailable,pubget,,True
14991255,unavailable,pubget,,True
15004322,unavailable,pubget,,True
15011331,unavailable,pubget,,True
15023818,unavailable,pubget,,True
15025046,unavailable,pubget,,True
15025054,unavailable,pubget,,True
15052786,unavailable,pubget,,True
15072425,unavailable,pubget,,True
15084791,unavailable,pubget,,True
15084793,unavailable,pubget,,True
15122701,unavailable,pubget,,True
15174536,unavailable,pubget,,True
15178934,unavailable,pubget,,True
15178938,unavailable,pubget,,True
15178939,unavailable,pubget,,True
15178942,unavailable,pubget,,True
15178944,unavailable,pubget,,True
15178945,unavailable,pubget,,True
15178946,unavailable,pubget,,True
15252752,unavailable,pubget,,True
15279205,unavailable,pubget,,True
15314128,unavailable,pubget,,True
15324365,unavailable,pubget,,True
15489396,unavailable,pubget,,True
15525284,unavailable,pubget,,True
15551110,unavailable,pubget,,True
15562429,unavailable,pubget,,True
15570509,unavailable,pubget,,True
15615814,unavailable,pubget,,True
15683953,unavailable,pubget,,True
15689356,unavailable,pubget,,True
15722899,unavailable,pubget,,True
15729883,unavailable,pubget,,True
15739047,unavailable,pubget,,True
15774455,unavailable,pubget,,True
15800453,unavailable,pubget,,True
15822553,unavailable,pubget,,True
15826996,unavailable,pubget,,True
15841415,unavailable,pubget,,True
15844669,unavailable,pubget,,True
15875911,unavailable,pubget,,True
15908747,unavailable,pubget,,True
15930045,unavailable,pubget,,True
15940384,unavailable,pubget,,True
15965697,unavailable,pubget,,True
16021963,unavailable,pubget,,True
16032689,unavailable,pubget,,True
16041289,unavailable,pubget,,True
16088140,unavailable,pubget,,True
16180709,unavailable,pubget,,True
16192724,unavailable,pubget,,True
16193841,unavailable,pubget,,True
16210224,unavailable,pubget,,True
16237363,unavailable,pubget,,True
16240349,unavailable,pubget,,True
16251138,unavailable,pubget,,True
16252889,unavailable,pubget,,True
16265841,unavailable,pubget,,True
16273542,unavailable,pubget,,True
16319024,unavailable,pubget,,True
16324238,unavailable,pubget,,True
16328511,unavailable,pubget,,True
16328530,unavailable,pubget,,True
16340203,unavailable,pubget,,True
16363641,unavailable,pubget,,True
16375198,unavailable,pubget,,True
16383220,unavailable,pubget,,True
16401256,unavailable,pubget,,True
16416468,unavailable,pubget,,True
16477583,unavailable,pubget,,True
16495328,unavailable,pubget,,True
16514368,unavailable,pubget,,True
16534206,unavailable,pubget,,True
16534207,unavailable,pubget,,True
16705474,unavailable,pubget,,True
16768752,unavailable,pubget,,True
16771179,unavailable,pubget,,True
16773268,unavailable,pubget,,True
16844962,unavailable,pubget,,True
16845570,unavailable,pubget,,True
16875340,unavailable,pubget,,True
16908994,unavailable,pubget,,True
16914925,unavailable,pubget,,True
16938018,unavailable,pubget,,True
16987245,unavailable,pubget,,True
17003069,unavailable,pubget,,True
17012932,unavailable,pubget,,True
17030534,unavailable,pubget,,True
17030535,unavailable,pubget,,True
17030755,unavailable,pubget,,True
17080724,unavailable,pubget,,True
17086416,unavailable,pubget,,True
17088691,unavailable,pubget,,True
17099602,unavailable,pubget,,True
17117340,unavailable,pubget,,True
17129187,unavailable,pubget,,True
17172610,unavailable,pubget,,True
17182396,unavailable,pubget,,True
17195884,unavailable,pubget,,True
17203597,unavailable,pubget,,True
17239043,unavailable,pubget,,True
17296841,unavailable,pubget,,True
17347250,unavailable,pubget,,True
17353375,unavailable,pubget,,True
17356339,unavailable,pubget,,True
17374952,unavailable,pubget,,True
17380245,unavailable,pubget,,True
17381257,unavailable,pubget,,True
17389003,unavailable,pubget,,True
17415082,unavailable,pubget,,True
17420404,unavailable,pubget,,True
17439980,unavailable,pubget,,True
17479980,unavailable,pubget,,True
17502554,unavailable,pubget,,True
17522784,unavailable,pubget,,True
17541785,unavailable,pubget,,True
17545743,unavailable,pubget,,True
