project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
dementia,all,autonima,v3,dementia_all,all:all_analyses,0.3154,0.6285,0.395,45,631,902629
dementia,all,baseline_sub,v3,dementia_all,all:all_analyses,0.2257,0.6592,0.4345,177,4604,902629
dementia,all,baseline_broad,v3,dementia_all,all:all_analyses,0.2257,0.6592,0.4345,177,4604,902629
dementia,decrease,autonima,v3,dementia_decreasing_activity,all:all_analyses,0.3436,0.6442,0.415,45,536,902629
dementia,decrease,baseline_sub,v3,dementia_decreasing_activity,all:all_analyses,0.242,0.6297,0.3965,177,4604,902629
dementia,decrease,baseline_broad,v3,dementia_decreasing_activity,all:all_analyses,0.242,0.6297,0.3965,177,4604,902629
dementia,functional,autonima,v3,functional,all:all_analyses,0.2694,0.543,0.2949,14,114,902629
dementia,functional,baseline_sub,v3,functional,all:all_analyses,0.0549,0.5085,0.2585,139,3744,902629
dementia,functional,baseline_broad,v3,functional,all:all_analyses,0.0473,0.5033,0.2533,177,4604,902629
dementia,structural,autonima,v3,structural,all:all_analyses,0.2737,0.5704,0.3253,36,538,902629
dementia,structural,baseline_sub,v3,structural,all:all_analyses,0.1503,0.6166,0.3802,157,4390,902629
dementia,structural,baseline_broad,v3,structural,all:all_analyses,0.1547,0.6115,0.374,177,4604,902629
