run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v1,all,dementia_all,162,44,True
v1-allstudies,all,dementia_all,103,29,True
v2,all,dementia_all,100,44,True
v2-allstudies,all,dementia_all,69,34,True
v2-annotation-only,all,dementia_all,61,30,True
v2-annotation-only-abstract,all,dementia_all,45,25,True
v3,all,dementia_all,123,50,True
v3-allstudies,all,dementia_all,92,41,True
v3-annotation-only,all,dementia_all,76,33,True
v1,decrease,dementia_decreasing_activity,27,15,True
v1-allstudies,decrease,dementia_decreasing_activity,20,11,True
v2,decrease,dementia_decreasing_activity,78,44,True
v2-allstudies,decrease,dementia_decreasing_activity,63,34,True
v2-annotation-only,decrease,dementia_decreasing_activity,52,30,True
v2-annotation-only-abstract,decrease,dementia_decreasing_activity,41,25,True
v3,decrease,dementia_decreasing_activity,102,50,True
v3-allstudies,decrease,dementia_decreasing_activity,74,39,True
v3-annotation-only,decrease,dementia_decreasing_activity,59,31,True
v1,functional,functional,23,6,True
v1-allstudies,functional,functional,11,4,True
v2,functional,functional,31,13,True
v2-allstudies,functional,functional,18,9,True
v2-annotation-only,functional,functional,17,8,True
v2-annotation-only-abstract,functional,functional,14,7,True
v3,functional,functional,39,17,True
v3-allstudies,functional,functional,26,12,True
v3-annotation-only,functional,functional,25,11,True
v1,structural,structural,140,39,True
v1-allstudies,structural,structural,93,26,True
v2,structural,structural,70,37,True
v2-allstudies,structural,structural,53,31,True
v2-annotation-only,structural,structural,46,27,True
v2-annotation-only-abstract,structural,structural,32,22,True
v3,structural,structural,87,41,True
v3-allstudies,structural,structural,67,36,True
v3-annotation-only,structural,structural,52,28,True
v1,,all_abstract,539,147,False
v1-allstudies,,all_abstract,410,101,False
v2,,all_abstract,457,136,False
v2-allstudies,,all_abstract,352,101,False
v2-annotation-only,,all_abstract,220,40,False
v2-annotation-only-abstract,,all_abstract,212,39,False
v3,,all_abstract,451,141,False
v3-allstudies,,all_abstract,345,101,False
v3-annotation-only,,all_abstract,212,39,False
v1,,all_analyses,482,111,False
v1-allstudies,,all_analyses,376,76,False
v2,,all_analyses,350,68,False
v2-allstudies,,all_analyses,280,54,False
v2-annotation-only,,all_analyses,220,40,False
v2-annotation-only-abstract,,all_analyses,212,39,False
v3,,all_analyses,338,67,False
v3-allstudies,,all_analyses,277,57,False
v3-annotation-only,,all_analyses,212,39,False
v1,,all_studies,539,147,False
v1-allstudies,,all_studies,410,101,False
v2,,all_studies,457,136,False
v2-allstudies,,all_studies,352,101,False
v2-annotation-only,,all_studies,220,40,False
v2-annotation-only-abstract,,all_studies,212,39,False
v3,,all_studies,451,141,False
v3-allstudies,,all_studies,345,101,False
v3-annotation-only,,all_studies,212,39,False
