run,manual_name,auto_name,dice,pearson_r
v1,all,dementia_all,0.257256973928358,0.453293650138421
v1-allstudies,all,dementia_all,0.1994121969140338,0.4119147348621443
v1-annotation-only,all,dementia_all,0.08598969268944455,0.2863640438189902
v1,decrease,dementia_decreasing_activity,0.1277241379310345,0.33366907566540416
v1-allstudies,decrease,dementia_decreasing_activity,0.06677495036996932,0.293149390858466
v1-annotation-only,decrease,dementia_decreasing_activity,0.09470869687587954,0.21785616204189734
v1,functional,functional,0.06733441033925687,0.22560471136246477
v1-allstudies,functional,functional,0.037690970633976764,0.2044320849447342
v1-annotation-only,functional,functional,0.029036688247989013,0.061399867787038244
v1,structural,structural,0.15538224628682132,0.4371523566957631
v1-allstudies,structural,structural,0.12144920558497833,0.40340136664597837
v1-annotation-only,structural,structural,0.05504880780924948,0.2770179406058625
