id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
14527604-Salmon_2003_1	1	1	0	0	0	0	0	0	0	0	0
15585344-Boccardi_2005_1	3	0	0	0	0	0	0	0	0	0	0
15668960-Franceschi_2005_1	8	0	0	0	0	0	0	0	0	0	0
15668960-Franceschi_2005_2	2	11	0	0	0	0	0	0	0	0	0
18661129-Kanda_2008_1	2	2	0	0	0	0	0	0	0	0	0
20493673-Raczka_2010_1	1	1	0	0	0	0	0	0	0	0	0
24278277, 25518957-Lagarde_2013_Lagarde_2016_1	1	0	0	0	0	0	0	0	0	0	0
25273996, 18268196, 26673947, 19164761, 23576128-Lee_2014_Seeley_2008_Mandelli_2016_Agosta_2009_Chiong_2013_1	11	7	0	1	0	0	0	0	0	0	2
25773639-Agustus_2015_1	0	0	0	0	0	0	0	0	0	0	0
26928581-Morbelli_2016_1	0	2	0	0	0	0	0	0	0	0	0
26944874, 23565102, 14761903, 21930136, 19687454, 28724588, 27301638, 22952324-Cousins_2016_McMillan_2013_Grossman_2004_Morgan_2011_Libon_2009_Nevler_2017_Massimo_2012_Ash_2016_Healy_2015_1	1	1	0	0	0	0	0	0	0	0	0
28119587, 23986673-Tuovinen_2017_Rytty_2013_1	3	0	0	0	0	0	0	0	0	0	0
28219620, 26707083, 26707083-Baez_2017a_Baez_2016a_Baez_2017b_Baez_2016b_1	2	0	0	0	0	0	0	0	0	0	0
29394332, 25511791, 25009480, 25797589, 29704671, 28662418, 26401935, 25009480, 26810632, 26501846, 31461580, 31497638, 28662418, 31873787, 31887311, 23582296, 25396740, 27252632, 26682697, 27258418, 21785117, 30014499, 25009480, 23670951, 24523434, 30718430, 25913063-Kumfor_2018a_Kamminga_2015_Kumfor_2014_Kumfor_2015_Kumfor_2018b_Kumfor_2017_Hutchings_2015_kumfor_2013_Ahmed_2016_Devenney_2015_Ahmed_2019_Donnelly_2019_Kumfor_2018c_Wei_2019_Wilson_2019_Irish_2013a_Irish_2014a_Irish_2016_Dermody_2016_Hornberger_2011_Chen_2018a_Kumfor_2013_Chen_2018b_Irish_2013b_Irish_2014b_OCallaghan_2019_Tu_2015_1	4	5	1	0	0	0	0	0	0	0	0
30545239-Devencchio_2018_1	0	1	0	0	0	0	0	0	0	0	0
