Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	4.0	42.0	20.0	4.06189	7928
PositiveTail 1a	-4.0	42.0	18.0	4.06189	
PositiveTail 1b	4.0	36.0	24.0	4.0450616	
PositiveTail 1c	0.0	44.0	18.0	4.0450616	
PositiveTail 2	-14.0	10.0	4.0	4.0450616	5480
PositiveTail 2a	-12.0	8.0	-4.0	3.4995754	
PositiveTail 2b	-2.0	12.0	-10.0	3.4995754	
PositiveTail 2c	-8.0	8.0	2.0	3.4995754	
PositiveTail 3	-38.0	4.0	0.0	2.8987434	152
PositiveTail 4	8.0	58.0	0.0	2.8987434	528
PositiveTail 4a	-2.0	62.0	0.0	2.297961	
PositiveTail 5	6.0	20.0	36.0	2.8987434	176
PositiveTail 6	12.0	16.0	6.0	2.8987434	448
PositiveTail 6a	16.0	12.0	12.0	2.297961	
PositiveTail 7	30.0	48.0	14.0	2.8987434	264
PositiveTail 8	-38.0	-6.0	-2.0	2.297961	208
PositiveTail 9	-6.0	-20.0	2.0	2.297961	328
PositiveTail 10	-2.0	36.0	-20.0	2.297961	112
PositiveTail 11	28.0	-14.0	-18.0	2.297961	496
