Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	4.0	42.0	20.0	3.689744	8816
PositiveTail 1a	-4.0	42.0	18.0	3.689744	
PositiveTail 1b	4.0	36.0	24.0	3.6758115	
PositiveTail 1c	10.0	32.0	36.0	3.6758115	
PositiveTail 2	-14.0	10.0	4.0	3.6758115	6768
PositiveTail 2a	-12.0	8.0	-4.0	3.09972	
PositiveTail 2b	-2.0	12.0	-10.0	3.09972	
PositiveTail 2c	-8.0	8.0	2.0	3.09972	
PositiveTail 3	-38.0	4.0	0.0	3.09972	920
PositiveTail 3a	-36.0	-4.0	-2.0	1.8235979	
PositiveTail 4	-58.0	-26.0	-24.0	2.4825337	352
PositiveTail 5	-8.0	-20.0	2.0	2.4825337	960
PositiveTail 5a	-2.0	-14.0	0.0	1.8235979	
PositiveTail 6	-4.0	36.0	-20.0	2.4825337	424
PositiveTail 7	6.0	64.0	0.0	2.4825337	680
PositiveTail 7a	-2.0	62.0	0.0	1.8235979	
PositiveTail 7b	8.0	66.0	4.0	1.8235979	
PositiveTail 8	4.0	20.0	34.0	2.4825337	424
PositiveTail 9	12.0	16.0	6.0	2.4825337	520
PositiveTail 9a	16.0	12.0	12.0	1.8235979	
PositiveTail 9b	14.0	20.0	4.0	1.8235979	
PositiveTail 10	30.0	48.0	14.0	2.4825337	264
PositiveTail 11	0.0	12.0	28.0	1.8235979	192
PositiveTail 12	28.0	-14.0	-18.0	1.8235979	496
PositiveTail 13	36.0	-10.0	-24.0	1.8235979	136
