Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-14.0	10.0	4.0	3.7196853	2832
PositiveTail 1a	-12.0	8.0	-4.0	2.900277	
PositiveTail 1b	-14.0	4.0	8.0	2.900277	
PositiveTail 1c	-6.0	10.0	6.0	2.900277	
PositiveTail 2	-38.0	4.0	0.0	2.900277	128
PositiveTail 3	2.0	34.0	12.0	2.900277	1096
PositiveTail 3a	6.0	38.0	20.0	2.900277	
PositiveTail 3b	0.0	38.0	12.0	2.160514	
PositiveTail 3c	4.0	36.0	26.0	2.160514	
PositiveTail 4	-6.0	-20.0	4.0	2.160514	488
PositiveTail 5	-6.0	38.0	18.0	2.160514	560
PositiveTail 6	-6.0	18.0	-20.0	2.160514	264
PositiveTail 7	-4.0	12.0	-12.0	2.160514	152
