Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	6.0	46.0	10.0	2.4788587	7120
PositiveTail 1a	4.0	42.0	20.0	2.3607721	
PositiveTail 1b	10.0	46.0	8.0	2.3607721	
PositiveTail 1c	-4.0	42.0	18.0	2.3607721	
PositiveTail 2	30.0	48.0	14.0	2.3607721	920
PositiveTail 2a	22.0	54.0	16.0	2.1888726	
PositiveTail 2b	24.0	46.0	22.0	1.6597929	
PositiveTail 2c	30.0	48.0	10.0	1.6597929	
PositiveTail 3	40.0	28.0	10.0	2.1888726	176
PositiveTail 4	-46.0	26.0	0.0	2.1888726	640
PositiveTail 5	-38.0	-6.0	-2.0	2.1888726	1512
PositiveTail 5a	-36.0	4.0	0.0	2.1888726	
PositiveTail 5b	-44.0	-4.0	-4.0	1.6597929	
PositiveTail 5c	-34.0	-8.0	-8.0	1.6597929	
PositiveTail 6	-30.0	14.0	-16.0	2.1888726	312
PositiveTail 7	-16.0	10.0	6.0	2.1888726	1976
PositiveTail 7a	-26.0	6.0	2.0	1.6597929	
PositiveTail 7b	-20.0	2.0	6.0	1.6597929	
PositiveTail 7c	-18.0	16.0	0.0	1.6597929	
PositiveTail 8	34.0	6.0	-30.0	2.1888726	328
PositiveTail 9	-2.0	10.0	-10.0	2.1888726	1160
PositiveTail 9a	-4.0	2.0	-8.0	1.6597929	
PositiveTail 9b	2.0	14.0	-6.0	1.6597929	
PositiveTail 9c	0.0	2.0	-14.0	1.6597929	
PositiveTail 10	28.0	-14.0	-18.0	2.1888726	2152
PositiveTail 10a	34.0	-14.0	-24.0	2.1888726	
PositiveTail 10b	22.0	-18.0	-14.0	1.6597929	
PositiveTail 10c	20.0	-10.0	-20.0	1.6597929	
PositiveTail 11	6.0	20.0	36.0	2.1888726	480
PositiveTail 12	12.0	16.0	6.0	2.1888726	688
PositiveTail 13	32.0	54.0	-10.0	1.6597929	208
PositiveTail 14	-56.0	6.0	-18.0	1.6597929	784
PositiveTail 15	34.0	54.0	0.0	1.6597929	184
PositiveTail 16	-10.0	-20.0	-2.0	1.6597929	96
PositiveTail 17	-22.0	-34.0	-2.0	1.6597929	104
PositiveTail 18	0.0	12.0	28.0	1.6597929	192
PositiveTail 19	-2.0	40.0	-4.0	1.6597929	128
