run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v2-annotation-only,all,dementia_all,65,30,True
v2-annotation-only-abstract,all,dementia_all,47,25,True
v3-annotation-only,all,dementia_all,81,33,True
v2-annotation-only,decrease,dementia_decreasing_activity,58,29,True
v2-annotation-only-abstract,decrease,dementia_decreasing_activity,43,25,True
v3-annotation-only,decrease,dementia_decreasing_activity,61,31,True
v2-annotation-only,functional,functional,23,9,True
v2-annotation-only-abstract,functional,functional,24,8,True
v3-annotation-only,functional,functional,29,11,True
v2-annotation-only,structural,structural,43,26,True
v2-annotation-only-abstract,structural,structural,36,24,True
v3-annotation-only,structural,structural,53,28,True
v2-annotation-only,,all_analyses,215,39,False
v2-annotation-only-abstract,,all_analyses,215,39,False
v3-annotation-only,,all_analyses,214,39,False
