run,manual_name,auto_name,dice,pearson_r
v2-annotation-only,all,dementia_all,0.5620176032498307,0.7716728920931532
v2-annotation-only-abstract,all,dementia_all,0.48349596945269413,0.724637765412145
v3-annotation-only,all,dementia_all,0.5588364918466284,0.7791356178446583
v2-annotation-only,decrease,dementia_decreasing_activity,0.44586385563694836,0.7135778883796259
v2-annotation-only-abstract,decrease,dementia_decreasing_activity,0.4350240861433834,0.6905489659969895
v3-annotation-only,decrease,dementia_decreasing_activity,0.40853185142810444,0.6948176447208215
v2-annotation-only,functional,functional,0.3113111065657599,0.7266252163097763
v2-annotation-only-abstract,functional,functional,0.3028250118555653,0.6968092794748812
v3-annotation-only,functional,functional,0.47404580152671755,0.7618697857749127
v2-annotation-only,structural,structural,0.40619793402199267,0.6766687349828485
v2-annotation-only-abstract,structural,structural,0.41279669762641896,0.6889911537014356
v3-annotation-only,structural,structural,0.4371726535341831,0.680869950085643
