manual_col,run,schema,pipeline,best_baseline,delta
all,v1-allstudies,S1,0.20525946704067322,0.4503151689865112,-0.24505570194583798
all,v2-allstudies,S2,0.3993056894889103,0.45897870027800425,-0.05967301078909393
all,v3-allstudies,S2,0.4359830097087379,0.4564849169220842,-0.020501907213346326
all,v4-allstudies,S3,0.5035627962457231,0.4627950735545672,0.04076772269115586
all,v5-allstudies,S3,0.45316871426833716,0.46251979964895756,-0.009351085380620405
decrease,v1-allstudies,S1,0.07677046493573708,0.34352788066873563,-0.26675741573299855
decrease,v2-allstudies,S2,0.4483542091465191,0.34825966984557294,0.10009453930094614
decrease,v3-allstudies,S2,0.41938674579624136,0.37137524165055663,0.048011504145684725
decrease,v4-allstudies,S3,0.44453415870452606,0.3601703940362087,0.08436376466831735
decrease,v5-allstudies,S3,0.39977131422854284,0.36007358234023834,0.0396977318883045
functional,v1-allstudies,S1,0.030854785182527582,0.2655584306960454,-0.23470364551351783
functional,v2-allstudies,S2,0.3695419520547945,0.26478531943357647,0.10475663262121804
functional,v3-allstudies,S2,0.2886959425613625,0.2681858943925727,0.02051004816878982
functional,v4-allstudies,S3,0.1884272997032641,0.27348520759557204,-0.08505790789230794
functional,v5-allstudies,S3,0.13735616562471686,0.27353959566625713,-0.13618343004154027
structural,v1-allstudies,S1,0.13616973506960037,0.2651413543721236,-0.12897161930252324
structural,v2-allstudies,S2,0.31334149326805383,0.27361101734962534,0.03973047591842849
structural,v3-allstudies,S2,0.3274775928297055,0.29054896512414946,0.03692862770555605
structural,v4-allstudies,S3,0.35983542755476483,0.28645204748940467,0.07338338006536016
structural,v5-allstudies,S3,0.32489300998573467,0.2857945921636967,0.03909841782203799
