pmid,analysis_index,analysis_id,analysis_name,analysis_description,table_id,coordinate_count,coordinate_spaces,coordinates_json,invalid_point_count,dementia_all__include,dementia_all__confidence,dementia_all__reasoning,dementia_all__inclusion_criteria_applied,dementia_all__exclusion_criteria_applied,dementia_decreasing_activity__include,dementia_decreasing_activity__confidence,dementia_decreasing_activity__reasoning,dementia_decreasing_activity__inclusion_criteria_applied,dementia_decreasing_activity__exclusion_criteria_applied,structural__include,structural__confidence,structural__reasoning,structural__inclusion_criteria_applied,structural__exclusion_criteria_applied,functional__include,functional__confidence,functional__reasoning,functional__inclusion_criteria_applied,functional__exclusion_criteria_applied
14527604,0,14527604_analysis_0,"Conjunction (c1, c2, c3)",,TABLE2,8,MNI,"[[0.0, 56.0, 0.0], [-2.0, 36.0, 20.0], [0.0, 18.0, -16.0], [-14.0, 60.0, 22.0], [-22.0, 24.0, 46.0], [-46.0, 18.0, 30.0], [-64.0, -20.0, -22.0], [-10.0, 10.0, 2.0]]",0,False,,"Excluded because this is a between-group, group-level contrast/conjunction (FTD patients vs controls), which meets GLOBAL_E3 (Between-group contrasts or interactions). Additionally, the study uses FDG-PET only and does not satisfy GLOBAL_I1 which requires VBM, fMRI, and FDG-PET modalities.",[],"[""GLOBAL_E3""]",False,,"Although the analysis reports decreased metabolism in bvFTD relative to controls (would meet DEMENTIA_DECREASING_ACTIVITY_I1), it is a between-group contrast/intersection (FTD vs control) and therefore excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]",False,,"Excluded because the analysis is a between-group contrast (GLOBAL_E3). Additionally, the study does not use VBM so STRUCTURAL_I1 is not satisfied.",[],"[""GLOBAL_E3""]",False,,"Although the study uses FDG-PET (which would satisfy FUNCTIONAL_I1), the analysis is a between-group contrast (FTD vs controls) and thus excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]"
14527604,1,14527604_analysis_1,Interaction (c1 versus c2 and c3),,TABLE2,1,MNI,"[[-6.0, 28.0, -12.0]]",0,False,,"Excluded because this analysis is an interaction/between-group contrast (c1 versus c2 and c3), which meets GLOBAL_E3 (Between-group contrasts or interactions). The study also does not meet GLOBAL_I1 (requires VBM, fMRI, and FDG-PET).",[],"[""GLOBAL_E3""]",False,,"Even if the interaction shows decreases for bvFTD (DEMENTIA_DECREASING_ACTIVITY_I1), this is an interaction/between-group comparison and is excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]",False,,"Excluded due to GLOBAL_E3 (interaction/between-group contrast). Additionally, STRUCTURAL_I1 is not met because VBM was not used.",[],"[""GLOBAL_E3""]",False,,"Although FDG-PET is used (meeting FUNCTIONAL_I1), this analysis is an interaction/between-group contrast and thus excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]"
14527604,2,14527604_analysis_2,Interaction (c2 versus c1 and c3),,TABLE2,0,,[],0,False,,"Excluded because this is an interaction/between-group contrast (c2 versus c1 and c3), triggering GLOBAL_E3. The study also does not meet GLOBAL_I1.",[],"[""GLOBAL_E3""]",False,,"Although decreases for bvFTD might be reported (DEMENTIA_DECREASING_ACTIVITY_I1), the analysis is a between-group interaction/contrast and is therefore excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]",False,,Excluded because the analysis is an interaction/between-group contrast (GLOBAL_E3). STRUCTURAL_I1 (VBM) is not satisfied by this FDG-PET study.,[],"[""GLOBAL_E3""]",False,,"Even though FDG-PET satisfies FUNCTIONAL_I1, the analysis is a between-group interaction/contrast and thus excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]"
14527604,3,14527604_analysis_3,Interaction (c3 versus c1 and c2),,TABLE2,1,MNI,"[[58.0, 8.0, -12.0]]",0,False,,"Excluded because this analysis is an interaction/between-group contrast (c3 versus c1 and c2), triggering GLOBAL_E3. GLOBAL_I1 is also not fully satisfied.",[],"[""GLOBAL_E3""]",False,,"While decreases in metabolism for bvFTD may be present (DEMENTIA_DECREASING_ACTIVITY_I1), the analysis is a between-group interaction/contrast and therefore excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]",False,,"Excluded due to GLOBAL_E3 (interaction/between-group contrast). The analysis is not VBM-based, so STRUCTURAL_I1 is not met.",[],"[""GLOBAL_E3""]",False,,"Despite using FDG-PET (FUNCTIONAL_I1), this interaction/between-group contrast is excluded by GLOBAL_E3.",[],"[""GLOBAL_E3""]"
15585344,0,15585344_analysis_0,Atrophic regions in frontotemporal dementia,,TBL2,19,None,"[[-2.0, 44.0, -10.0], [0.0, 26.0, -10.0], [-38.0, 30.0, 2.0], [-32.0, 22.0, 10.0], [4.0, 6.0, -6.0], [-52.0, 8.0, 18.0], [18.0, -10.0, -14.0], [-62.0, -28.0, -24.0], [8.0, 18.0, -18.0], [-4.0, 50.0, 24.0], [-18.0, -10.0, -14.0], [38.0, 22.0, 8.0], [14.0, 20.0, -2.0], [-4.0, 32.0, 18.0], [-8.0, 14.0, 38.0], [18.0, -6.0, -22.0], [10.0, 22.0, 36.0], [8.0, 34.0, 26.0], [-4.0, 46.0, 24.0]]",0,False,,"Global inclusion criterion GLOBAL_I2 (sample must be clinically diagnosed bvFTD with no comorbidities) is not met or not specified in the study (participants described as 'FTD' without explicit bvFTD diagnosis or comorbidity exclusions). GLOBAL_I1 and GLOBAL_I3 are met (VBM and whole-brain voxelwise group comparison), but failure to meet GLOBAL_I2 requires exclusion.",[],[],False,,"Although the analysis reports decreases in gray matter in FTD versus controls (meets local DEMENTIA_DECREASING_ACTIVITY_I1), the global inclusion criterion GLOBAL_I2 (explicit clinically diagnosed bvFTD sample with no comorbidities) is not met or not specified; therefore excluded.",[],[],False,,"The analysis uses VBM (meets STRUCTURAL_I1), but it fails global inclusion GLOBAL_I2 (study does not specify clinically diagnosed bvFTD with no comorbidities), so it must be excluded.",[],[],False,,"Local functional inclusion FUNCTIONAL_I1 is not met (analysis uses structural VBM MRI, not FDG-PET or fMRI). Additionally GLOBAL_I2 (explicit bvFTD sample with no comorbidities) is not specified. Failure to meet required global and local inclusion criteria leads to exclusion.",[],[]
15668960,0,15668960_analysis_0,vs controls (p < 0.001),Apathetic subjects,88,11,None,"[[-16.0, 64.0, -4.0], [-16.0, 64.0, -4.0], [16.0, 64.0, 0.0], [-2.0, 42.0, -24.0], [4.0, 40.0, -24.0], [-52.0, 16.0, 20.0], [-42.0, 12.0, 0.0], [58.0, 20.0, 24.0], [44.0, 6.0, 2.0], [-2.0, -16.0, 4.0], [12.0, -22.0, 6.0]]",0,False,,"Excluded because this is a between-group contrast (apathetic subjects vs controls), which triggers GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this analysis is a between-group contrast (apathetic subjects vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control), even though decreases in metabolism are reported.",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (apathetic subjects vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (apathetic subjects vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]"
15668960,1,15668960_analysis_1,vs disinhibited (p < 0.01),Apathetic subjects,88,8,None,"[[-42.0, 12.0, 26.0], [-46.0, 20.0, 18.0], [42.0, 34.0, 2.0], [38.0, 28.0, 24.0], [-24.0, -12.0, 68.0], [44.0, 6.0, 10.0], [0.0, 26.0, 58.0], [8.0, 40.0, 40.0]]",0,False,,"Excluded because this is a between-group contrast (apathetic subjects vs disinhibited subjects), which triggers GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this analysis is a between-group contrast (apathetic vs disinhibited), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control), despite reporting relative decreases.",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (apathetic vs disinhibited), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (apathetic vs disinhibited), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]"
15668960,2,15668960_analysis_2,vs controls (p < 0.001),Disinhibited subjects,88,12,None,"[[-10.0, 12.0, -24.0], [12.0, 24.0, -28.0], [-8.0, 38.0, 18.0], [8.0, 34.0, 20.0], [-46.0, 6.0, 0.0], [-4.0, -18.0, 8.0], [10.0, -20.0, 6.0], [-48.0, -18.0, -36.0], [48.0, -16.0, -36.0], [-24.0, -12.0, -30.0], [20.0, -8.0, -30.0], [46.0, 8.0, -2.0]]",0,False,,"Excluded because this is a between-group contrast (disinhibited subjects vs controls), which triggers GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this analysis is a between-group contrast (disinhibited vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control), even though decreases in metabolism are reported.",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (disinhibited vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (disinhibited vs controls), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]"
15668960,3,15668960_analysis_3,vs apathetic (p < 0.01),Disinhibited subjects,88,7,None,"[[-18.0, 12.0, -20.0], [11.0, 12.0, -18.0], [36.0, -12.0, -18.0], [-22.0, -28.0, -28.0], [50.0, -30.0, -28.0], [-12.0, 26.0, 26.0], [14.0, 32.0, 22.0]]",0,False,,"Excluded because this is a between-group contrast (disinhibited subjects vs apathetic subjects), which triggers GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this analysis is a between-group contrast (disinhibited vs apathetic), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control), despite reporting relative decreases.",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (disinhibited vs apathetic), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]",False,,"Excluded because this is a between-group contrast (disinhibited vs apathetic), triggering GLOBAL_E3 (between-group contrasts/subgroup vs subgroup or patient vs control).",[],"[""GLOBAL_E3""]"
18268196,0,18268196_analysis_0,"Regions of Gray Matter Loss in Very Mild, Mild, and Moderate to Severe bvFTD",,77,105,None,"[[2.0, 36.0, 14.0], [4.0, 38.0, 20.0], [2.0, 28.0, 18.0], [-2.0, 36.0, 12.0], [-2.0, 38.0, 16.0], [-2.0, 32.0, 16.0], [2.0, 44.0, 20.0], [2.0, 44.0, 30.0], [2.0, 44.0, 28.0], [-2.0, 48.0, 22.0], [-2.0, 46.0, 28.0], [-2.0, 46.0, 24.0], [2.0, 53.0, -4.0], [-2.0, 58.0, 2.0], [1.0, 53.0, -3.0], [-2.0, 54.0, -4.0], [-2.0, 54.0, -2.0], [-2.0, 54.0, -4.0], [2.0, 8.0, -4.0], [4.0, 8.0, -8.0], [4.0, 8.0, -6.0], [-4.0, 12.0, -6.0], [-4.0, 8.0, -6.0], [-4.0, 10.0, -6.0], [42.0, 17.0, -10.0], [36.0, 18.0, -8.0], [42.0, 16.0, -12.0], [-39.0, 17.0, -13.0], [-38.0, 20.0, -10.0], [-39.0, 17.0, -13.0], [39.0, 23.0, 5.0], [35.0, 18.0, 5.0], [35.0, 16.0, 7.0], [-34.0, 24.0, 4.0], [-32.0, 22.0, 4.0], [-36.0, 24.0, 4.0], [33.0, 36.0, -13.0], [34.0, 36.0, -13.0], [42.0, 16.0, -12.0], [-29.0, 38.0, -13.0], [-29.0, 38.0, -14.0], [-30.0, 38.0, -15.0], [44.0, -10.0, -4.0], [-40.0, -12.0, -2.0], [28.0, 61.0, -15.0], [24.0, 61.0, -13.0], [33.0, 63.0, -6.0], [-31.0, 61.0, -2.0], [-29.0, 61.0, -2.0], [-27.0, 61.0, -3.0], [30.0, 52.0, 18.0], [38.0, 52.0, 6.0], [36.0, 44.0, 28.0], [-42.0, 52.0, 9.0], [-42.0, 53.0, 7.0], [-45.0, 53.0, 4.0], [38.0, 14.0, 33.0], [38.0, 15.0, 33.0], [38.0, 13.0, 34.0], [-44.0, 13.0, 28.0], [-44.0, 11.0, 27.0], [-43.0, 10.0, 25.0], [47.0, -6.0, 33.0], [47.0, -6.0, 34.0], [-53.0, -30.0, -8.0], [-54.0, -29.0, -4.0], [45.0, 36.0, 17.0], [45.0, 34.0, 20.0], [44.0, 34.0, 24.0], [-48.0, 36.0, 26.0], [-56.0, 28.0, 18.0], [26.0, 34.0, 40.0], [30.0, 26.0, 40.0], [-40.0, 25.0, 46.0], [-42.0, 28.0, 45.0], [0.0, 36.0, 38.0], [0.0, 36.0, 38.0], [-24.0, 19.0, 47.0], [-25.0, 21.0, 47.0], [48.0, -18.0, -4.0], [50.0, -18.0, -6.0], [-50.0, -51.0, 26.0], [48.0, -59.0, 44.0], [29.0, -13.0, -13.0], [30.0, -14.0, -10.0], [-30.0, -14.0, -10.0], [28.0, -14.0, -16.0], [27.0, -26.0, -10.0], [-28.0, -32.0, -6.0], [-7.0, 15.0, 6.0], [-8.0, 13.0, 9.0], [-10.0, 15.0, 7.0], [9.0, 13.0, 9.0], [9.0, 13.0, 9.0], [9.0, 12.0, 7.0], [30.0, 4.0, 8.0], [27.0, 6.0, 8.0], [29.0, 8.0, 10.0], [-22.0, 3.0, 6.0], [-22.0, 5.0, 4.0], [-22.0, 11.0, 4.0], [2.0, -8.0, 10.0], [2.0, -8.0, 8.0], [2.0, -8.0, 8.0], [48.0, -67.0, -48.0]]",0,False,,"Although this analysis reports group-level VBM findings in bvFTD, it represents between-group contrasts (e.g., patient vs control or severity subgroup comparisons), therefore GLOBAL_E3 applies and excludes it.",[],"[""GLOBAL_E3""]",False,,"The analysis reports decreases in gray matter for bvFTD (Control > bvFTD), so local inclusion DEMENTIA_DECREASING_ACTIVITY_I1 would apply, but the analysis is a between-group contrast so GLOBAL_E3 excludes it.",[],"[""GLOBAL_E3""]",False,,The analysis uses VBM (structural) but is presented as between-group contrasts (patient vs control / subgroup comparisons); GLOBAL_E3 therefore excludes inclusion.,[],"[""GLOBAL_E3""]",False,,"This analysis is VBM (structural), not functional (FDG-PET or fMRI); additionally the analysis involves between-group contrasts so GLOBAL_E3 applies.",[],"[""GLOBAL_E3""]"
