stage,metric,value,ci_lower,ci_upper
search,true_positives,71,,
search,false_negatives,3,,
search,false_positives,1956,,
search,recall,0.9594594594594594,0.8874510681944235,0.9861178204204043
search,precision,0.03502713369511593,0.02786236661959223,0.043951013606615456
abstract,true_positives,71,,
abstract,false_negatives,0,,
abstract,false_positives,720,,
abstract,recall_in_search,1.0,0.9486702582520953,1
abstract,recall_all_meta,0.9594594594594594,0.8874510681944235,0.9861178204204043
abstract,precision,0.0897597977243995,0.07177219709975398,0.11171291490243616
fulltext,true_positives,62,,
fulltext,false_negatives,3,,
fulltext,false_positives,188,,
fulltext,additional_false_negatives,3,,
fulltext,missing_full_text,6,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,9,,
fulltext,false_negatives_fulltext_only,3,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9538461538461539,0.8728594829309505,0.9841804464140967
fulltext,recall_fulltext_only,0.9538461538461539,0.8728594829309505,0.9841804464140967
fulltext,absolute_recall_all_texts,0.8732394366197183,0.7763068112503158,0.9318554942054735
fulltext,recall_all_meta,0.8378378378378378,0.7375997655871838,0.904730299570778
fulltext,precision,0.248,0.19855073569865583,0.3050767233151544
fulltext,precision_fulltext_only,0.248,0.19855073569865583,0.3050767233151544
fulltext_with_coords,true_positives,36,,
fulltext_with_coords,false_negatives,29,,
fulltext_with_coords,false_positives,57,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.5538461538461539,0.4333760431730088,0.6683066603086071
fulltext_with_coords,recall_all_meta,0.4864864864864865,0.37611598006562663,0.5981908173280549
fulltext_with_coords,precision,0.3870967741935484,0.29445899414987403,0.48869204837730434
