project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
emotion_regulation_2022,decrease,autonima,v4,decrease,all_reappraisal:all_analyses,0.7026,0.8633,0.7454,109,2023,228483
emotion_regulation_2022,decrease,baseline_sub,v4,decrease,all_reappraisal:all_analyses,0.4251,0.497,0.247,356,10858,228483
emotion_regulation_2022,decrease,baseline_broad,v4,decrease,all_reappraisal:all_analyses,0.41,0.5085,0.2586,578,16887,228483
emotion_regulation_2022,increase,autonima,v4,increase,all_reappraisal:all_analyses,0.5262,0.6636,0.4404,28,408,228483
emotion_regulation_2022,increase,baseline_sub,v4,increase,all_reappraisal:all_analyses,0.1294,0.3822,0.1461,326,10060,228483
emotion_regulation_2022,increase,baseline_broad,v4,increase,all_reappraisal:all_analyses,0.1105,0.3982,0.1585,578,16887,228483
emotion_regulation_2022,maintain,autonima,v4,maintain,all_reappraisal:all_analyses,0.4909,0.7454,0.5556,86,1718,228483
emotion_regulation_2022,maintain,baseline_broad,v4,maintain,all_reappraisal:all_analyses,0.2093,0.467,0.2181,578,16887,228483
emotion_regulation_2022,reappraisal,autonima,v4,reappraisal,all_reappraisal:all_analyses,0.7242,0.8875,0.7877,108,2100,228483
emotion_regulation_2022,reappraisal,baseline_sub,v4,reappraisal,all_reappraisal:all_analyses,0.5462,0.6927,0.4798,179,6748,228483
emotion_regulation_2022,reappraisal,baseline_broad,v4,reappraisal,all_reappraisal:all_analyses,0.4272,0.547,0.2992,578,16887,228483
