project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
emotion_regulation_2022,decrease,autonima,v8-jev,decrease,all_reappraisal:all_analyses,0.5963,0.7545,0.5693,84,2120,228483
emotion_regulation_2022,decrease,baseline_sub,v8-jev,decrease,all_reappraisal:all_analyses,0.4251,0.497,0.247,356,10858,228483
emotion_regulation_2022,decrease,baseline_broad,v8-jev,decrease,all_reappraisal:all_analyses,0.41,0.5085,0.2586,578,16887,228483
emotion_regulation_2022,increase,autonima,v8-jev,increase,all_reappraisal:all_analyses,0.5687,0.6402,0.4099,17,337,228483
emotion_regulation_2022,increase,baseline_sub,v8-jev,increase,all_reappraisal:all_analyses,0.1294,0.3822,0.1461,326,10060,228483
emotion_regulation_2022,increase,baseline_broad,v8-jev,increase,all_reappraisal:all_analyses,0.1105,0.3982,0.1585,578,16887,228483
emotion_regulation_2022,maintain,autonima,v8-jev,maintain,all_reappraisal:all_analyses,0.4888,0.6978,0.4869,51,1139,228483
emotion_regulation_2022,maintain,baseline_broad,v8-jev,maintain,all_reappraisal:all_analyses,0.2093,0.467,0.2181,578,16887,228483
emotion_regulation_2022,reappraisal,autonima,v8-jev,reappraisal,all_reappraisal:all_analyses,0.6427,0.824,0.6789,78,1652,228483
emotion_regulation_2022,reappraisal,baseline_sub,v8-jev,reappraisal,all_reappraisal:all_analyses,0.5462,0.6927,0.4798,179,6748,228483
emotion_regulation_2022,reappraisal,baseline_broad,v8-jev,reappraisal,all_reappraisal:all_analyses,0.4272,0.547,0.2992,578,16887,228483
