Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	22.0	-6.0	-14.0	7.59558584398357	7984
PositiveTail 1a	14.0	-4.0	-12.0	5.855852011720415	
PositiveTail 1b	32.0	-6.0	-12.0	3.5432713534501517	
PositiveTail 1c	14.0	-2.0	4.0	2.4800942762149614	
PositiveTail 2	-22.0	-2.0	-12.0	7.361401882391756	7952
PositiveTail 2a	-24.0	-4.0	-20.0	7.017966613988484	
PositiveTail 2b	-18.0	-6.0	-14.0	7.017966613988484	
PositiveTail 2c	-26.0	-4.0	-14.0	6.665289496344511	
PositiveTail 3	-50.0	-70.0	0.0	6.27813447821797	6680
PositiveTail 3a	-40.0	-72.0	0.0	4.501575166688592	
PositiveTail 3b	-48.0	-70.0	10.0	4.501575166688592	
PositiveTail 3c	-42.0	-80.0	-4.0	4.501575166688592	
PositiveTail 4	-40.0	-14.0	12.0	5.41779015660021	8520
PositiveTail 4a	-54.0	-22.0	26.0	4.038275165564686	
PositiveTail 4b	-52.0	-22.0	34.0	4.038275165564686	
PositiveTail 4c	-44.0	-6.0	10.0	4.038275165564686	
PositiveTail 5	4.0	-32.0	-2.0	5.41779015660021	10384
PositiveTail 5a	10.0	-26.0	-8.0	4.501575166688592	
PositiveTail 5b	-6.0	-26.0	-6.0	4.501575166688592	
PositiveTail 5c	8.0	-22.0	-4.0	4.038275165564686	
PositiveTail 6	42.0	-68.0	-6.0	4.501575166688592	4192
PositiveTail 6a	50.0	-68.0	-4.0	4.501575166688592	
PositiveTail 6b	44.0	-66.0	-12.0	3.5432713534501517	
PositiveTail 6c	48.0	-58.0	0.0	3.5432713534501517	
PositiveTail 7	54.0	-22.0	34.0	4.038275165564686	2192
PositiveTail 7a	56.0	-24.0	24.0	3.027943519614294	
PositiveTail 7b	48.0	-28.0	34.0	2.4800942762149614	
PositiveTail 7c	50.0	-30.0	18.0	2.4800942762149614	
PositiveTail 8	52.0	4.0	28.0	3.5432713534501517	1560
PositiveTail 8a	44.0	12.0	30.0	3.027943519614294	
PositiveTail 8b	52.0	14.0	32.0	3.027943519614294	
PositiveTail 8c	46.0	8.0	32.0	2.4800942762149614	
PositiveTail 9	40.0	22.0	0.0	3.5432713534501517	1576
PositiveTail 9a	50.0	24.0	-2.0	2.4800942762149614	
PositiveTail 9b	38.0	30.0	4.0	1.9369594412932454	
PositiveTail 9c	42.0	16.0	-12.0	1.9369594412932454	
PositiveTail 10	0.0	-2.0	-4.0	3.027943519614294	808
PositiveTail 10a	-6.0	6.0	2.0	2.4800942762149614	
PositiveTail 10b	0.0	-2.0	-10.0	2.4800942762149614	
PositiveTail 10c	-10.0	6.0	2.0	1.9369594412932454	
PositiveTail 11	-44.0	-30.0	40.0	3.027943519614294	304
PositiveTail 12	-50.0	18.0	28.0	3.027943519614294	1080
PositiveTail 12a	-42.0	22.0	24.0	2.4800942762149614	
PositiveTail 12b	-42.0	20.0	34.0	1.9369594412932454	
PositiveTail 12c	-40.0	16.0	24.0	1.9369594412932454	
PositiveTail 13	32.0	-58.0	50.0	3.027943519614294	968
PositiveTail 13a	28.0	-56.0	60.0	1.9369594412932454	
PositiveTail 13b	30.0	-64.0	54.0	1.9369594412932454	
PositiveTail 14	-30.0	-48.0	50.0	2.4800942762149614	376
PositiveTail 15	-32.0	-28.0	-18.0	2.4800942762149614	192
PositiveTail 15a	-26.0	-28.0	-12.0	2.4800942762149614	
PositiveTail 16	-42.0	-58.0	-12.0	2.4800942762149614	936
PositiveTail 17	-24.0	-68.0	24.0	2.4800942762149614	104
PositiveTail 18	-18.0	-68.0	10.0	2.4800942762149614	224
PositiveTail 19	38.0	-10.0	-2.0	2.4800942762149614	88
PositiveTail 20	28.0	-68.0	28.0	2.4800942762149614	672
PositiveTail 21	-36.0	-16.0	54.0	1.9369594412932454	272
PositiveTail 22	10.0	-56.0	8.0	1.9369594412932454	232
PositiveTail 23	22.0	-96.0	2.0	1.9369594412932454	128
PositiveTail 24	-32.0	-20.0	-18.0	1.9369594412932454	216
PositiveTail 25	-34.0	22.0	-2.0	1.9369594412932454	1176
PositiveTail 26	38.0	-24.0	20.0	1.9369594412932454	624
PositiveTail 27	52.0	-28.0	8.0	1.9369594412932454	344
