Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-4.0	12.0	64.0	10.23124266596377	20024
PositiveTail 1a	-4.0	18.0	52.0	7.95326417832254	
PositiveTail 1b	-4.0	26.0	42.0	5.49381057601815	
PositiveTail 1c	-12.0	18.0	44.0	4.685197603849806	
PositiveTail 2	-52.0	24.0	-6.0	8.906396793911657	28608
PositiveTail 2a	-48.0	20.0	0.0	8.281753192935595	
PositiveTail 2b	-46.0	26.0	-8.0	8.281753192935595	
PositiveTail 2c	-52.0	22.0	0.0	7.95326417832254	
PositiveTail 3	46.0	24.0	-10.0	7.63108460001313	9888
PositiveTail 3a	46.0	26.0	-2.0	7.291233851384825	
PositiveTail 3b	52.0	22.0	2.0	5.87810535546554	
PositiveTail 3c	52.0	26.0	-8.0	5.87810535546554	
PositiveTail 4	-58.0	-40.0	-2.0	7.291233851384825	6616
PositiveTail 4a	-52.0	-36.0	2.0	4.262114872965426	
PositiveTail 4b	-54.0	-26.0	-2.0	2.867715729946793	
PositiveTail 4c	-62.0	-30.0	6.0	1.8032071647690406	
PositiveTail 5	-48.0	-60.0	26.0	7.291233851384825	16856
PositiveTail 5a	-46.0	-64.0	38.0	5.87810535546554	
PositiveTail 5b	-46.0	-54.0	26.0	5.87810535546554	
PositiveTail 5c	-48.0	-64.0	42.0	5.49381057601815	
PositiveTail 6	38.0	28.0	38.0	7.291233851384825	7984
PositiveTail 6a	42.0	20.0	38.0	6.955072161685782	
PositiveTail 6b	42.0	28.0	40.0	6.955072161685782	
PositiveTail 6c	38.0	22.0	44.0	6.613878285338332	
PositiveTail 7	54.0	-56.0	40.0	6.252722122832479	8728
PositiveTail 7a	56.0	-58.0	32.0	5.49381057601815	
PositiveTail 7b	46.0	-56.0	36.0	5.098412639193622	
PositiveTail 7c	50.0	-58.0	26.0	4.685197603849806	
PositiveTail 8	-34.0	48.0	20.0	4.262114872965426	2568
PositiveTail 8a	-32.0	50.0	12.0	3.8221709411580664	
PositiveTail 8b	-30.0	50.0	24.0	2.867715729946793	
PositiveTail 8c	-26.0	44.0	18.0	2.3498480143065876	
PositiveTail 9	-10.0	-56.0	26.0	3.361278980612269	2152
PositiveTail 9a	-8.0	-48.0	32.0	2.867715729946793	
PositiveTail 9b	-2.0	-58.0	30.0	2.867715729946793	
PositiveTail 9c	-4.0	-44.0	32.0	2.3498480143065876	
PositiveTail 10	32.0	-58.0	-30.0	3.361278980612269	2016
PositiveTail 10a	38.0	-64.0	-30.0	2.867715729946793	
PositiveTail 10b	40.0	-54.0	-32.0	1.8032071647690406	
PositiveTail 11	32.0	44.0	24.0	2.867715729946793	992
PositiveTail 11a	32.0	46.0	14.0	1.8032071647690406	
PositiveTail 11b	32.0	50.0	24.0	1.8032071647690406	
PositiveTail 11c	38.0	40.0	24.0	1.8032071647690406	
PositiveTail 12	-6.0	-10.0	8.0	2.3498480143065876	120
PositiveTail 13	4.0	-66.0	38.0	2.3498480143065876	520
PositiveTail 13a	6.0	-64.0	30.0	2.3498480143065876	
PositiveTail 13b	-2.0	-68.0	36.0	1.8032071647690406	
PositiveTail 13c	4.0	-62.0	38.0	1.8032071647690406	
PositiveTail 14	-2.0	36.0	32.0	2.3498480143065876	104
PositiveTail 15	-60.0	-2.0	-18.0	2.3498480143065876	560
PositiveTail 15a	-52.0	-2.0	-16.0	2.3498480143065876	
PositiveTail 15b	-62.0	-8.0	-16.0	1.8032071647690406	
PositiveTail 15c	-58.0	-4.0	-22.0	1.8032071647690406	
PositiveTail 16	-2.0	-18.0	24.0	2.3498480143065876	160
PositiveTail 17	0.0	-26.0	30.0	1.8032071647690406	144
PositiveTail 18	22.0	0.0	-18.0	1.8032071647690406	128
PositiveTail 19	-4.0	-66.0	62.0	1.8032071647690406	104
PositiveTail 20	-16.0	4.0	16.0	1.8032071647690406	200
PositiveTail 21	46.0	48.0	-10.0	1.8032071647690406	152
