run,manual_name,auto_name,n_analyses,n_unique_pmids,is_mapped
v2-annotation-only,decrease,decrease,150,45,True
v4-annotation-only,decrease,decrease,161,54,True
v2-annotation-only,increase,increase,31,10,True
v4-annotation-only,increase,increase,20,9,True
v2-annotation-only,maintain,maintain,55,24,True
v4-annotation-only,maintain,maintain,98,38,True
v2-annotation-only,reappraisal,reappraisal,151,45,True
v4-annotation-only,reappraisal,reappraisal,174,57,True
v2-annotation-only,,all_analyses,364,48,False
v4-annotation-only,,all_analyses,458,64,False
v4-annotation-only,,all_abstract,333,46,False
v4-annotation-only,,all_studies,333,46,False
