pmid,priority,is_gold,in_included_set,type,reported_by,existing_path
17488204,1,True,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Journal of cognitive neuroscience/17488204.html
12495527,1,True,True,unavailable,v4;v4-annotation-only,
27819447,1,True,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies;v4-annotation-only,
28045309,1,True,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies;v4-annotation-only,
31305099,1,True,True,unavailable,v4-annotation-only,
20041475,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Human psychopharmacology/20041475.html
26784537,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26784537.html
27177109,2,False,True,incomplete,v1-allstudies;v2-allstudies;v4;v4-allstudies,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/27177109.html
30699438,2,False,True,incomplete,v4,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30699438.html
31133889,2,False,True,incomplete,v2-allstudies,projects/emotion_regulation_2022/v2-allstudies/retrieval/pubget_data/text.csv [pmcid=6516054]
12191458,2,False,True,unavailable,v4,
15570506,2,False,True,unavailable,v4,
16180622,2,False,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
16585452,2,False,True,unavailable,v4,
17069484,2,False,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
18925717,2,False,True,unavailable,v4,
19246323,2,False,True,unavailable,v4,
19739909,2,False,True,unavailable,v4,
21196949,2,False,True,unavailable,v4,
21373973,2,False,True,unavailable,v4,
21939610,2,False,True,unavailable,v4,
23317795,2,False,True,unavailable,v4,
23777332,2,False,True,unavailable,v4,
24229474,2,False,True,unavailable,v4,
25204866,2,False,True,unavailable,v4,
25357006,2,False,True,unavailable,v4,
25855888,2,False,True,unavailable,v4,
25945779,2,False,True,unavailable,v4,
26679192,2,False,True,unavailable,v4,
26936075,2,False,True,unavailable,v4,
27362389,2,False,True,unavailable,v4,
27715496,2,False,True,unavailable,v4,
27997290,2,False,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
28925716,2,False,True,unavailable,v4,
28981646,2,False,True,unavailable,v4,
29154589,2,False,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
29294627,2,False,True,unavailable,v4,
29397562,2,False,True,unavailable,v4,
29882728,2,False,True,unavailable,v4,
30570314,2,False,True,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
10717898,3,False,False,unavailable,v4,
11013373,3,False,False,unavailable,v4,
11280935,3,False,False,unavailable,v4,
11511909,3,False,False,unavailable,v4,
11972095,3,False,False,unavailable,v4,
12634489,3,False,False,unavailable,v4,
14595651,3,False,False,unavailable,v4,
14766646,3,False,False,unavailable,v4,
15459077,3,False,False,unavailable,v4,
15863793,3,False,False,unavailable,v4,
15997014,3,False,False,unavailable,v4,
16201122,3,False,False,unavailable,v4,
16245070,3,False,False,unavailable,v4,
16938092,3,False,False,unavailable,v4,
17062771,3,False,False,unavailable,v4,
17151993,3,False,False,unavailable,v4,
17459179,3,False,False,unavailable,v4,
17471288,3,False,False,unavailable,v4,
17536969,3,False,False,unavailable,v4,
17566201,3,False,False,unavailable,v4,
17580660,3,False,False,unavailable,v4,
17690869,3,False,False,unavailable,v4,
18076530,3,False,False,unavailable,v4,
18085868,3,False,False,unavailable,v4,
18281886,3,False,False,unavailable,v4,
18323752,3,False,False,unavailable,v4,
18345992,3,False,False,unavailable,v4,
18388734,3,False,False,unavailable,v4,
18580874,3,False,False,unavailable,v4,
18589506,3,False,False,unavailable,v4,
18606038,3,False,False,unavailable,v4,
18726967,3,False,False,unavailable,v4,
19218873,3,False,False,unavailable,v4,
19564769,3,False,False,unavailable,v4,
19624389,3,False,False,unavailable,v4,
19735480,3,False,False,unavailable,v4,
19899828,3,False,False,unavailable,v4,
19995843,3,False,False,unavailable,v4,
20112261,3,False,False,unavailable,v4,
20141309,3,False,False,unavailable,v4,
20652311,3,False,False,unavailable,v4,
20726753,3,False,False,unavailable,v4,
20819990,3,False,False,unavailable,v4,
20820793,3,False,False,unavailable,v4,
20950283,3,False,False,unavailable,v4,
21315749,3,False,False,unavailable,v4,
21464361,3,False,False,unavailable,v4,
21516545,3,False,False,unavailable,v4,
21577214,3,False,False,unavailable,v4,
21666130,3,False,False,unavailable,v4,
22250442,3,False,False,unavailable,v4,
22262538,3,False,False,unavailable,v4,
22369232,3,False,False,unavailable,v4,
22396079,3,False,False,unavailable,v4,
22500698,3,False,False,unavailable,v4,
22617632,3,False,False,unavailable,v4,
22880630,3,False,False,unavailable,v4,
23074972,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
23118193,3,False,False,unavailable,v4,
23318128,3,False,False,unavailable,v4,
23364872,3,False,False,unavailable,v4,
23381548,3,False,False,unavailable,v4,
23385487,3,False,False,unavailable,v4,
23473554,3,False,False,unavailable,v4,
23551078,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4-allstudies,
23553468,3,False,False,unavailable,v4,
23880959,3,False,False,unavailable,v4,
23943190,3,False,False,unavailable,v4,
23960247,3,False,False,unavailable,v4,
23981357,3,False,False,unavailable,v4,
24234836,3,False,False,unavailable,v4,
24275797,3,False,False,unavailable,v4,
24589068,3,False,False,unavailable,v4,
24615897,3,False,False,unavailable,v4,
24661162,3,False,False,unavailable,v4,
25046244,3,False,False,unavailable,v4,
25223844,3,False,False,unavailable,v4,
25352166,3,False,False,unavailable,v4,
25486718,3,False,False,unavailable,v4,
25571419,3,False,False,unavailable,v4,
25856740,3,False,False,unavailable,v4,
25860658,3,False,False,unavailable,v4,
25903500,3,False,False,unavailable,v4,
25959039,3,False,False,unavailable,v4,
26168376,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
26886102,3,False,False,unavailable,v4,
26889898,3,False,False,unavailable,v4,
26989966,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
27200505,3,False,False,unavailable,v4,
27351671,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4-allstudies,
27447790,3,False,False,unavailable,v4,
27570951,3,False,False,unavailable,v4,
27611586,3,False,False,unavailable,v4,
27893013,3,False,False,unavailable,v4,
27991185,3,False,False,unavailable,v4,
28130745,3,False,False,unavailable,v4,
28177183,3,False,False,unavailable,v4,
28238701,3,False,False,unavailable,v4,
28347360,3,False,False,unavailable,v4,
28401835,3,False,False,unavailable,v4,
28478685,3,False,False,unavailable,v4,
28644924,3,False,False,unavailable,v4,
28701109,3,False,False,unavailable,v4,
28825953,3,False,False,unavailable,v4,
28866781,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
28901577,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
28905640,3,False,False,unavailable,v4,
28975416,3,False,False,unavailable,v4,
28992395,3,False,False,unavailable,v4,
29019036,3,False,False,unavailable,v4,
29166323,3,False,False,unavailable,v4,
29214483,3,False,False,unavailable,v4,
29934780,3,False,False,unavailable,v4,
30058519,3,False,False,unavailable,v4,
30058761,3,False,False,unavailable,v4,
30073554,3,False,False,unavailable,v4,
30095582,3,False,False,unavailable,v4,
30111185,3,False,False,unavailable,v4,
30167865,3,False,False,unavailable,v4,
30169711,3,False,False,unavailable,v4,
30739618,3,False,False,unavailable,v4,
30744720,3,False,False,unavailable,v4,
30813750,3,False,False,unavailable,v4,
30880661,3,False,False,unavailable,v4,
30897955,3,False,False,unavailable,v4,
31073964,3,False,False,unavailable,v4,
31250445,3,False,False,unavailable,v1-allstudies;v2-allstudies;v4;v4-allstudies,
31328716,3,False,False,unavailable,v4,
31441517,3,False,False,unavailable,v4,
31591898,3,False,False,unavailable,v4,
31673773,3,False,False,unavailable,v4,
31728624,3,False,False,unavailable,v4,
31888419,3,False,False,unavailable,v4,
