pmid,tier,status,route,next_action
17488204,gold,on_disk_no_tables,other,re-download via other
11549754,gold,on_disk_no_tables,pmc,re-download via pmc
12495527,gold,absent,other,manual via other
12644355,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
15501593,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
16249098,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
18817740,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
19555702,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
19589502,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
19651401,gold,usable_html,elsevier,none
19883494,gold,usable_html,pmc,none
19969089,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
20674090,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
21106812,gold,usable_html,pmc,none
21712804,gold,absent,other,manual via other
21896496,gold,usable_html,pmc,none
21907809,gold,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
21998031,gold,on_disk_no_tables,pmc,re-download via pmc
22401827,gold,usable_html,elsevier,none
23887812,gold,usable_html,pmc,none
24493837,gold,usable_html,pmc,none
25997918,gold,absent,other,manual via other
27819447,gold,absent,other,manual via other
28045309,gold,absent,other,manual via other
31305099,gold,absent,no-link,manual via no-link
33529742,gold,usable_elsevier_xml,elsevier,none
20041475,included,on_disk_no_tables,other,re-download via other
12191458,included,absent,other,manual via other
15570506,included,absent,other,manual via other
15780849,included,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
15880108,included,absent,other,manual via other
16180622,included,absent,no-link,manual via no-link
16585452,included,absent,other,manual via other
16624961,included,usable_html,pmc,none
17010993,included,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
17069484,included,absent,other,manual via other
17079679,included,usable_html,pmc,none
17467008,included,absent,elsevier,elsevier: needs ELSEVIER_INSTTOKEN
18452757,included,usable_html,elsevier,none
18544183,included,absent,other,manual via other
