stage,metric,value,ci_lower,ci_upper
search,true_positives,56,,
search,false_negatives,32,,
search,false_positives,218,,
search,recall,0.6363636363636364,0.5321109452578119,0.7292085439496931
search,precision,0.20437956204379562,0.16087467499728098,0.25605929025486274
abstract,true_positives,52,,
abstract,false_negatives,4,,
abstract,false_positives,100,,
abstract,recall_in_search,0.9285714285714286,0.830243171685138,0.9718744187536204
abstract,recall_all_meta,0.5909090909090909,0.4864789444675971,0.6877340483374065
abstract,precision,0.34210526315789475,0.27141022759894745,0.4205847211182115
fulltext,true_positives,42,,
fulltext,false_negatives,8,,
fulltext,false_positives,32,,
fulltext,additional_false_negatives,8,,
fulltext,missing_full_text,2,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,14,,
fulltext,false_negatives_fulltext_only,8,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.84,0.7148551903823402,0.916626786379123
fulltext,recall_fulltext_only,0.84,0.7148551903823402,0.916626786379123
fulltext,absolute_recall_all_texts,0.75,0.6230710799856808,0.8448308477702616
fulltext,recall_all_meta,0.4772727272727273,0.37606451443681693,0.5803822373619323
fulltext,precision,0.5675675675675675,0.4541253909309131,0.6743406221006791
fulltext,precision_fulltext_only,0.5675675675675675,0.4541253909309131,0.6743406221006791
fulltext_with_coords,true_positives,33,,
fulltext_with_coords,false_negatives,17,,
fulltext_with_coords,false_positives,24,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.66,0.5215356854148285,0.7756323036493895
fulltext_with_coords,recall_all_meta,0.375,0.2810776628624691,0.4793794720306513
fulltext_with_coords,precision,0.5789473684210527,0.44979910140681373,0.6981260024694814
