pmid,type,source,full_text_path,in_included_set
19398537,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Social cognitive and affective neuroscience/19398537.html,True
24430617,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/24430617.html,True
24902936,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/24902936.html,True
26537018,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26537018.html,True
29318489,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/29318489.html,True
16180622,unavailable,pubget,,True
21531382,unavailable,pubget,,True
27177109,unavailable,pubget,,True
27819447,unavailable,pubget,,True
28045309,unavailable,pubget,,True
30173058,unavailable,pubget,,True
